county,precinct,office,district,party,candidate,votes,winner
Cecil,,Governor,,Democratic,Ralph Jaffe,2,
Cecil,,Governor,,Democratic,James T. Lynch,1,
Cecil,,Governor,,Both Parties,Other Write-Ins,16,
Charles,,Governor,,Democratic,Kathleen Kennedy Townsend,15149,
Charles,,Governor,,Republican,Robert L. Ehrlich,19695,TRUE
Charles,,Governor,,Libertarian,Spear Lancaster,230,
Charles,,Governor,,Democratic,Ralph Jaffe,4,
Charles,,Governor,,Democratic,James T. Lynch,0,
Charles,,Governor,,Both Parties,Other Write-Ins,22,
Dorchester,,Governor,,Democratic,Kathleen Kennedy Townsend,3316,
Dorchester,,Governor,,Republican,Robert L. Ehrlich,6941,TRUE
Dorchester,,Governor,,Libertarian,Spear Lancaster,60,
Dorchester,,Governor,,Democratic,Ralph Jaffe,1,
Dorchester,,Governor,,Democratic,James T. Lynch,1,
Dorchester,,Governor,,Both Parties,Other Write-Ins,6,
Frederick,,Governor,,Democratic,Kathleen Kennedy Townsend,21913,
Frederick,,Governor,,Republican,Robert L. Ehrlich,43646,TRUE
Frederick,,Governor,,Libertarian,Spear Lancaster,544,
Frederick,,Governor,,Democratic,Ralph Jaffe,10,
Frederick,,Governor,,Democratic,James T. Lynch,1,
Frederick,,Governor,,Both Parties,Other Write-Ins,41,
Garrett,,Governor,,Democratic,Kathleen Kennedy Townsend,2355,
Garrett,,Governor,,Republican,Robert L. Ehrlich,6604,TRUE
Garrett,,Governor,,Libertarian,Spear Lancaster,56,
Garrett,,Governor,,Democratic,Ralph Jaffe,1,
Garrett,,Governor,,Democratic,James T. Lynch,0,
Garrett,,Governor,,Both Parties,Other Write-Ins,3,
Harford,,Governor,,Democratic,Kathleen Kennedy Townsend,21246,
Harford,,Governor,,Republican,Robert L. Ehrlich,63553,TRUE
Harford,,Governor,,Libertarian,Spear Lancaster,639,
Harford,,Governor,,Democratic,Ralph Jaffe,9,
Harford,,Governor,,Democratic,James T. Lynch,6,
Harford,,Governor,,Both Parties,Other Write-Ins,50,
Howard,,Governor,,Democratic,Kathleen Kennedy Townsend,42438,
Howard,,Governor,,Republican,Robert L. Ehrlich,53260,TRUE
Howard,,Governor,,Libertarian,Spear Lancaster,688,
Howard,,Governor,,Democratic,Ralph Jaffe,3,
Howard,,Governor,,Democratic,James T. Lynch,0,
Howard,,Governor,,Both Parties,Other Write-Ins,119,
Kent,,Governor,,Democratic,Kathleen Kennedy Townsend,2641,
Kent,,Governor,,Republican,Robert L. Ehrlich,5012,TRUE
Kent,,Governor,,Libertarian,Spear Lancaster,50,
Kent,,Governor,,Democratic,Ralph Jaffe,1,
Kent,,Governor,,Democratic,James T. Lynch,1,
Kent,,Governor,,Both Parties,Other Write-Ins,5,
Montgomery,,Governor,,Democratic,Kathleen Kennedy Townsend,180576,
Montgomery,,Governor,,Republican,Robert L. Ehrlich,113680,TRUE
Montgomery,,Governor,,Libertarian,Spear Lancaster,1942,
Montgomery,,Governor,,Democratic,Ralph Jaffe,21,
Montgomery,,Governor,,Democratic,James T. Lynch,3,
Montgomery,,Governor,,Both Parties,Other Write-Ins,302,
Prince George's,,Governor,,Democratic,Kathleen Kennedy Townsend,150927,
Prince George's,,Governor,,Republican,Robert L. Ehrlich,45193,TRUE
Prince George's,,Governor,,Libertarian,Spear Lancaster,912,
Prince George's,,Governor,,Democratic,Ralph Jaffe,15,
Prince George's,,Governor,,Democratic,James T. Lynch,8,
Prince George's,,Governor,,Both Parties,Other Write-Ins,139,
Queen Anne's,,Governor,,Democratic,Kathleen Kennedy Townsend,4190,
Queen Anne's,,Governor,,Republican,Robert L. Ehrlich,12341,TRUE
Queen Anne's,,Governor,,Libertarian,Spear Lancaster,92,
Queen Anne's,,Governor,,Democratic,Ralph Jaffe,11,
Queen Anne's,,Governor,,Democratic,James T. Lynch,2,
Queen Anne's,,Governor,,Both Parties,Other Write-Ins,6,
St. Mary's,,Governor,,Democratic,Kathleen Kennedy Townsend,9048,
St. Mary's,,Governor,,Republican,Robert L. Ehrlich,15986,TRUE
St. Mary's,,Governor,,Libertarian,Spear Lancaster,250,
St. Mary's,,Governor,,Democratic,Ralph Jaffe,1,
St. Mary's,,Governor,,Democratic,James T. Lynch,1,
St. Mary's,,Governor,,Both Parties,Other Write-Ins,13,
Somerset,,Governor,,Democratic,Kathleen Kennedy Townsend,2052,
Somerset,,Governor,,Republican,Robert L. Ehrlich,4516,TRUE
Somerset,,Governor,,Libertarian,Spear Lancaster,37,
Somerset,,Governor,,Democratic,Ralph Jaffe,0,
Somerset,,Governor,,Democratic,James T. Lynch,0,
Somerset,,Governor,,Both Parties,Other Write-Ins,3,
Talbot,,Governor,,Democratic,Kathleen Kennedy Townsend,4225,
Talbot,,Governor,,Republican,Robert L. Ehrlich,10002,TRUE
Talbot,,Governor,,Libertarian,Spear Lancaster,70,
Talbot,,Governor,,Democratic,Ralph Jaffe,1,
Talbot,,Governor,,Democratic,James T. Lynch,1,
Talbot,,Governor,,Both Parties,Other Write-Ins,6,
Washington,,Governor,,Democratic,Kathleen Kennedy Townsend,11719,
Washington,,Governor,,Republican,Robert L. Ehrlich,26312,TRUE
Washington,,Governor,,Libertarian,Spear Lancaster,292,
Washington,,Governor,,Democratic,Ralph Jaffe,5,
Washington,,Governor,,Democratic,James T. Lynch,1,
Washington,,Governor,,Both Parties,Other Write-Ins,16,
Wicomico,,Governor,,Democratic,Kathleen Kennedy Townsend,8775,
Wicomico,,Governor,,Republican,Robert L. Ehrlich,16054,TRUE
Wicomico,,Governor,,Libertarian,Spear Lancaster,153,
Wicomico,,Governor,,Democratic,Ralph Jaffe,2,
Wicomico,,Governor,,Democratic,James T. Lynch,1,
Wicomico,,Governor,,Both Parties,Other Write-Ins,10,
Worcester,,Governor,,Democratic,Kathleen Kennedy Townsend,6305,
Worcester,,Governor,,Republican,Robert L. Ehrlich,11892,TRUE
Worcester,,Governor,,Libertarian,Spear Lancaster,112,
Worcester,,Governor,,Democratic,Ralph Jaffe,0,
Worcester,,Governor,,Democratic,James T. Lynch,0,
Worcester,,Governor,,Both Parties,Other Write-Ins,8,
Allegany,,Comptroller,,Democratic,William Donald Schaefer,13437,TRUE
Allegany,,Comptroller,,Republican,Gene Zarwell,8043,
Allegany,,Comptroller,,Democratic,Lih Young,2,
Allegany,,Comptroller,,Green,Beth Hufnagel,3,
Allegany,,Comptroller,,Both Parties,Other Write-Ins,9,
Anne Arundel,,Comptroller,,Democratic,William Donald Schaefer,103589,TRUE
Anne Arundel,,Comptroller,,Republican,Gene Zarwell,68472,
Anne Arundel,,Comptroller,,Democratic,Lih Young,233,
Anne Arundel,,Comptroller,,Green,Beth Hufnagel,410,
Anne Arundel,,Comptroller,,Both Parties,Other Write-Ins,277,
Baltimore City,,Comptroller,,Democratic,William Donald Schaefer,132853,TRUE
Baltimore City,,Comptroller,,Republican,Gene Zarwell,16308,
Baltimore City,,Comptroller,,Democratic,Lih Young,152,
Baltimore City,,Comptroller,,Green,Beth Hufnagel,508,
Baltimore City,,Comptroller,,Both Parties,Other Write-Ins,216,
Baltimore,,Comptroller,,Democratic,William Donald Schaefer,197672,TRUE
Baltimore,,Comptroller,,Republican,Gene Zarwell,75758,
Baltimore,,Comptroller,,Democratic,Lih Young,177,
Baltimore,,Comptroller,,Green,Beth Hufnagel,461,
Baltimore,,Comptroller,,Both Parties,Other Write-Ins,659,
Calvert,,Comptroller,,Democratic,William Donald Schaefer,14334,TRUE
Calvert,,Comptroller,,Republican,Gene Zarwell,11206,
Calvert,,Comptroller,,Democratic,Lih Young,4,
Calvert,,Comptroller,,Green,Beth Hufnagel,15,
Calvert,,Comptroller,,Both Parties,Other Write-Ins,42,
Caroline,,Comptroller,,Democratic,William Donald Schaefer,3538,TRUE
Caroline,,Comptroller,,Republican,Gene Zarwell,4502,
Caroline,,Comptroller,,Democratic,Lih Young,0,
Caroline,,Comptroller,,Green,Beth Hufnagel,0,
Caroline,,Comptroller,,Both Parties,Other Write-Ins,34,
Carroll,,Comptroller,,Democratic,William Donald Schaefer,31983,TRUE
Carroll,,Comptroller,,Republican,Gene Zarwell,26682,
Carroll,,Comptroller,,Democratic,Lih Young,30,
Carroll,,Comptroller,,Green,Beth Hufnagel,66,
Carroll,,Comptroller,,Both Parties,Other Write-Ins,90,
Cecil,,Comptroller,,Democratic,William Donald Schaefer,12981,TRUE
Cecil,,Comptroller,,Republican,Gene Zarwell,11299,
Cecil,,Comptroller,,Democratic,Lih Young,6,
Cecil,,Comptroller,,Green,Beth Hufnagel,27,
Cecil,,Comptroller,,Both Parties,Other Write-Ins,57,
Charles,,Comptroller,,Democratic,William Donald Schaefer,20070,TRUE
Charles,,Comptroller,,Republican,Gene Zarwell,14112,
Charles,,Comptroller,,Democratic,Lih Young,10,
Charles,,Comptroller,,Green,Beth Hufnagel,34,
Charles,,Comptroller,,Both Parties,Other Write-Ins,33,
Dorchester,,Comptroller,,Democratic,William Donald Schaefer,5984,TRUE
Dorchester,,Comptroller,,Republican,Gene Zarwell,3808,
Dorchester,,Comptroller,,Democratic,Lih Young,8,
Dorchester,,Comptroller,,Green,Beth Hufnagel,15,
Dorchester,,Comptroller,,Both Parties,Other Write-Ins,10,
Frederick,,Comptroller,,Democratic,William Donald Schaefer,33206,TRUE
Frederick,,Comptroller,,Republican,Gene Zarwell,30672,
Frederick,,Comptroller,,Democratic,Lih Young,62,
Frederick,,Comptroller,,Green,Beth Hufnagel,211,
Frederick,,Comptroller,,Both Parties,Other Write-Ins,74,
Garrett,,Comptroller,,Democratic,William Donald Schaefer,3842,TRUE
Garrett,,Comptroller,,Republican,Gene Zarwell,4823,
Garrett,,Comptroller,,Democratic,Lih Young,5,
Garrett,,Comptroller,,Green,Beth Hufnagel,5,
Garrett,,Comptroller,,Both Parties,Other Write-Ins,14,
Harford,,Comptroller,,Democratic,William Donald Schaefer,51374,TRUE
Harford,,Comptroller,,Republican,Gene Zarwell,32575,
Harford,,Comptroller,,Democratic,Lih Young,56,
Harford,,Comptroller,,Green,Beth Hufnagel,130,
Harford,,Comptroller,,Both Parties,Other Write-Ins,67,
Howard,,Comptroller,,Democratic,William Donald Schaefer,61315,TRUE
Howard,,Comptroller,,Republican,Gene Zarwell,32643,
Howard,,Comptroller,,Democratic,Lih Young,52,
Howard,,Comptroller,,Green,Beth Hufnagel,171,
Howard,,Comptroller,,Both Parties,Other Write-Ins,416,
Kent,,Comptroller,,Democratic,William Donald Schaefer,4249,TRUE
Kent,,Comptroller,,Republican,Gene Zarwell,3141,
Kent,,Comptroller,,Democratic,Lih Young,4,
Kent,,Comptroller,,Green,Beth Hufnagel,6,
Kent,,Comptroller,,Both Parties,Other Write-Ins,9,
Montgomery,,Comptroller,,Democratic,William Donald Schaefer,201314,TRUE
Montgomery,,Comptroller,,Republican,Gene Zarwell,81167,
Montgomery,,Comptroller,,Democratic,Lih Young,350,
Montgomery,,Comptroller,,Green,Beth Hufnagel,1271,
Montgomery,,Comptroller,,Both Parties,Other Write-Ins,713,
Prince George's,,Comptroller,,Democratic,William Donald Schaefer,159827,TRUE
Prince George's,,Comptroller,,Republican,Gene Zarwell,30829,
Prince George's,,Comptroller,,Democratic,Lih Young,114,
Prince George's,,Comptroller,,Green,Beth Hufnagel,153,
Prince George's,,Comptroller,,Both Parties,Other Write-Ins,462,
Queen Anne's,,Comptroller,,Democratic,William Donald Schaefer,7719,TRUE
Queen Anne's,,Comptroller,,Republican,Gene Zarwell,8317,
Queen Anne's,,Comptroller,,Democratic,Lih Young,40,
Queen Anne's,,Comptroller,,Green,Beth Hufnagel,60,
Queen Anne's,,Comptroller,,Both Parties,Other Write-Ins,19,
St. Mary's,,Comptroller,,Democratic,William Donald Schaefer,13682,TRUE
St. Mary's,,Comptroller,,Republican,Gene Zarwell,11042,
St. Mary's,,Comptroller,,Democratic,Lih Young,9,
St. Mary's,,Comptroller,,Green,Beth Hufnagel,27,
St. Mary's,,Comptroller,,Both Parties,Other Write-Ins,18,
Somerset,,Comptroller,,Democratic,William Donald Schaefer,3692,TRUE
Somerset,,Comptroller,,Republican,Gene Zarwell,2717,
Somerset,,Comptroller,,Democratic,Lih Young,3,
Somerset,,Comptroller,,Green,Beth Hufnagel,1,
Somerset,,Comptroller,,Both Parties,Other Write-Ins,10,
Talbot,,Comptroller,,Democratic,William Donald Schaefer,6794,TRUE
Talbot,,Comptroller,,Republican,Gene Zarwell,6954,
Talbot,,Comptroller,,Democratic,Lih Young,8,
Talbot,,Comptroller,,Green,Beth Hufnagel,6,
Talbot,,Comptroller,,Both Parties,Other Write-Ins,17,
Washington,,Comptroller,,Democratic,William Donald Schaefer,18416,TRUE
Washington,,Comptroller,,Republican,Gene Zarwell,18801,
Washington,,Comptroller,,Democratic,Lih Young,21,
Washington,,Comptroller,,Green,Beth Hufnagel,35,
Washington,,Comptroller,,Both Parties,Other Write-Ins,23,
Wicomico,,Comptroller,,Democratic,William Donald Schaefer,12556,TRUE
Wicomico,,Comptroller,,Republican,Gene Zarwell,11799,
Wicomico,,Comptroller,,Democratic,Lih Young,20,
Wicomico,,Comptroller,,Green,Beth Hufnagel,9,
Wicomico,,Comptroller,,Both Parties,Other Write-Ins,35,
Worcester,,Comptroller,,Democratic,William Donald Schaefer,10852,TRUE
Worcester,,Comptroller,,Republican,Gene Zarwell,7115,
Worcester,,Comptroller,,Democratic,Lih Young,9,
Worcester,,Comptroller,,Green,Beth Hufnagel,11,
Worcester,,Comptroller,,Both Parties,Other Write-Ins,29,
Allegany,,Attorney General,,Democratic,J. Joseph Curran,10203,TRUE
Allegany,,Attorney General,,Republican,Edwin MacVaugh,9852,
Allegany,,Attorney General,,Both Parties,Other Write-Ins,4,
Anne Arundel,,Attorney General,,Democratic,J. Joseph Curran,94840,TRUE
Anne Arundel,,Attorney General,,Republican,Edwin MacVaugh,75109,
Anne Arundel,,Attorney General,,Both Parties,Other Write-Ins,120,
Baltimore City,,Attorney General,,Democratic,J. Joseph Curran,132417,TRUE
Baltimore City,,Attorney General,,Republican,Edwin MacVaugh,16213,
Baltimore City,,Attorney General,,Both Parties,Other Write-Ins,64,
Baltimore,,Attorney General,,Democratic,J. Joseph Curran,183580,TRUE
Baltimore,,Attorney General,,Republican,Edwin MacVaugh,87997,
Baltimore,,Attorney General,,Both Parties,Other Write-Ins,188,
Calvert,,Attorney General,,Democratic,J. Joseph Curran,12977,TRUE
Calvert,,Attorney General,,Republican,Edwin MacVaugh,11939,
Calvert,,Attorney General,,Both Parties,Other Write-Ins,19,
Caroline,,Attorney General,,Democratic,J. Joseph Curran,4105,TRUE
Caroline,,Attorney General,,Republican,Edwin MacVaugh,3737,
Caroline,,Attorney General,,Both Parties,Other Write-Ins,2,
Carroll,,Attorney General,,Democratic,J. Joseph Curran,26583,TRUE
Carroll,,Attorney General,,Republican,Edwin MacVaugh,30915,
Carroll,,Attorney General,,Both Parties,Other Write-Ins,68,
Cecil,,Attorney General,,Democratic,J. Joseph Curran,12357,TRUE
Cecil,,Attorney General,,Republican,Edwin MacVaugh,11283,
Cecil,,Attorney General,,Both Parties,Other Write-Ins,24,
Charles,,Attorney General,,Democratic,J. Joseph Curran,18794,TRUE
Charles,,Attorney General,,Republican,Edwin MacVaugh,14649,
Charles,,Attorney General,,Both Parties,Other Write-Ins,24,
Dorchester,,Attorney General,,Democratic,J. Joseph Curran,6018,TRUE
Dorchester,,Attorney General,,Republican,Edwin MacVaugh,3470,
Dorchester,,Attorney General,,Both Parties,Other Write-Ins,14,
Frederick,,Attorney General,,Democratic,J. Joseph Curran,28971,TRUE
Frederick,,Attorney General,,Republican,Edwin MacVaugh,33527,
Frederick,,Attorney General,,Both Parties,Other Write-Ins,54,
Garrett,,Attorney General,,Democratic,J. Joseph Curran,2944,TRUE
Garrett,,Attorney General,,Republican,Edwin MacVaugh,5330,
Garrett,,Attorney General,,Both Parties,Other Write-Ins,13,
Harford,,Attorney General,,Democratic,J. Joseph Curran,45825,TRUE
Harford,,Attorney General,,Republican,Edwin MacVaugh,37089,
Harford,,Attorney General,,Both Parties,Other Write-Ins,55,
Howard,,Attorney General,,Democratic,J. Joseph Curran,56920,TRUE
Howard,,Attorney General,,Republican,Edwin MacVaugh,36575,
Howard,,Attorney General,,Both Parties,Other Write-Ins,67,
Kent,,Attorney General,,Democratic,J. Joseph Curran,4450,TRUE
Kent,,Attorney General,,Republican,Edwin MacVaugh,2703,
Kent,,Attorney General,,Both Parties,Other Write-Ins,2,
Montgomery,,Attorney General,,Democratic,J. Joseph Curran,194375,TRUE
Montgomery,,Attorney General,,Republican,Edwin MacVaugh,89054,
Montgomery,,Attorney General,,Both Parties,Other Write-Ins,231,
Prince George's,,Attorney General,,Democratic,J. Joseph Curran,158312,TRUE
Prince George's,,Attorney General,,Republican,Edwin MacVaugh,32009,
Prince George's,,Attorney General,,Both Parties,Other Write-Ins,101,
Queen Anne's,,Attorney General,,Democratic,J. Joseph Curran,8061,TRUE
Queen Anne's,,Attorney General,,Republican,Edwin MacVaugh,7696,
Queen Anne's,,Attorney General,,Both Parties,Other Write-Ins,10,
St. Mary's,,Attorney General,,Democratic,J. Joseph Curran,12643,TRUE
St. Mary's,,Attorney General,,Republican,Edwin MacVaugh,11333,
St. Mary's,,Attorney General,,Both Parties,Other Write-Ins,17,
Somerset,,Attorney General,,Democratic,J. Joseph Curran,3393,TRUE
Somerset,,Attorney General,,Republican,Edwin MacVaugh,2737,
Somerset,,Attorney General,,Both Parties,Other Write-Ins,7,
Talbot,,Attorney General,,Democratic,J. Joseph Curran,7094,TRUE
Talbot,,Attorney General,,Republican,Edwin MacVaugh,6323,
Talbot,,Attorney General,,Both Parties,Other Write-Ins,10,
Washington,,Attorney General,,Democratic,J. Joseph Curran,16351,TRUE
Washington,,Attorney General,,Republican,Edwin MacVaugh,19532,
Washington,,Attorney General,,Both Parties,Other Write-Ins,34,
Wicomico,,Attorney General,,Democratic,J. Joseph Curran,12946,TRUE
Wicomico,,Attorney General,,Republican,Edwin MacVaugh,10900,
Wicomico,,Attorney General,,Both Parties,Other Write-Ins,15,
Worcester,,Attorney General,,Democratic,J. Joseph Curran,9953,TRUE
Worcester,,Attorney General,,Republican,Edwin MacVaugh,7597,
Worcester,,Attorney General,,Both Parties,Other Write-Ins,15,
Anne Arundel,,Representative in Congress,,Democratic,Ann D. Tamlyn,10315,
Anne Arundel,,Representative in Congress,,Republican,Wayne T. Gilchrest,34564,TRUE
Anne Arundel,,Representative in Congress,,Both Parties,Other Write-Ins,80,
Baltimore,,Representative in Congress,,Democratic,Ann D. Tamlyn,6728,
Baltimore,,Representative in Congress,,Republican,Wayne T. Gilchrest,22322,TRUE
Baltimore,,Representative in Congress,,Both Parties,Other Write-Ins,69,
Caroline,,Representative in Congress,,Democratic,Ann D. Tamlyn,1556,
Caroline,,Representative in Congress,,Republican,Wayne T. Gilchrest,6639,TRUE
Caroline,,Representative in Congress,,Both Parties,Other Write-Ins,11,
Cecil,,Representative in Congress,,Democratic,Ann D. Tamlyn,6670,
Cecil,,Representative in Congress,,Republican,Wayne T. Gilchrest,17425,TRUE
Cecil,,Representative in Congress,,Both Parties,Other Write-Ins,73,
Dorchester,,Representative in Congress,,Democratic,Ann D. Tamlyn,2219,
Dorchester,,Representative in Congress,,Republican,Wayne T. Gilchrest,7575,TRUE
Dorchester,,Representative in Congress,,Both Parties,Other Write-Ins,7,
Harford,,Representative in Congress,,Democratic,Ann D. Tamlyn,11259,
Harford,,Representative in Congress,,Republican,Wayne T. Gilchrest,35545,TRUE
Harford,,Representative in Congress,,Both Parties,Other Write-Ins,73,
Kent,,Representative in Congress,,Democratic,Ann D. Tamlyn,1455,
Kent,,Representative in Congress,,Republican,Wayne T. Gilchrest,6148,TRUE
Kent,,Representative in Congress,,Both Parties,Other Write-Ins,8,
Queen Anne's,,Representative in Congress,,Democratic,Ann D. Tamlyn,3128,
Queen Anne's,,Representative in Congress,,Republican,Wayne T. Gilchrest,13075,TRUE
Queen Anne's,,Representative in Congress,,Both Parties,Other Write-Ins,19,
Somerset,,Representative in Congress,,Democratic,Ann D. Tamlyn,1692,
Somerset,,Representative in Congress,,Republican,Wayne T. Gilchrest,4789,TRUE
Somerset,,Representative in Congress,,Both Parties,Other Write-Ins,11,
Talbot,,Representative in Congress,,Democratic,Ann D. Tamlyn,2475,
Talbot,,Representative in Congress,,Republican,Wayne T. Gilchrest,11616,TRUE
Talbot,,Representative in Congress,,Both Parties,Other Write-Ins,14,
Wicomico,,Representative in Congress,,Democratic,Ann D. Tamlyn,6165,
Wicomico,,Representative in Congress,,Republican,Wayne T. Gilchrest,18542,TRUE
Wicomico,,Representative in Congress,,Both Parties,Other Write-Ins,42,
Worcester,,Representative in Congress,,Democratic,Ann D. Tamlyn,4324,
Worcester,,Representative in Congress,,Republican,Wayne T. Gilchrest,13764,TRUE
Worcester,,Representative in Congress,,Both Parties,Other Write-Ins,16,
Anne Arundel,,Representative in Congress,,Democratic,C. A. Dutch Ruppersberger,14504,TRUE
Anne Arundel,,Representative in Congress,,Republican,Helen Delich Bentley,13811,
Anne Arundel,,Representative in Congress,,Both Parties,Other Write-Ins,80,
Baltimore City,,Representative in Congress,,Democratic,C. A. Dutch Ruppersberger,18817,TRUE
Baltimore City,,Representative in Congress,,Republican,Helen Delich Bentley,5102,
Baltimore City,,Representative in Congress,,Both Parties,Other Write-Ins,42,
Baltimore,,Representative in Congress,,Democratic,C. A. Dutch Ruppersberger,61069,TRUE
Baltimore,,Representative in Congress,,Republican,Helen Delich Bentley,57640,
Baltimore,,Representative in Congress,,Both Parties,Other Write-Ins,359,
Harford,,Representative in Congress,,Democratic,C. A. Dutch Ruppersberger,11328,TRUE
Harford,,Representative in Congress,,Republican,Helen Delich Bentley,12401,
Harford,,Representative in Congress,,Both Parties,Other Write-Ins,49,
Anne Arundel,,Representative in Congress,,Democratic,Benjamin L. Cardin,41692,TRUE
Anne Arundel,,Representative in Congress,,Republican,Scott Conwell,36184,
Anne Arundel,,Representative in Congress,,Both Parties,Other Write-Ins,99,
Baltimore City,,Representative in Congress,,Democratic,Benjamin L. Cardin,37617,TRUE
Baltimore City,,Representative in Congress,,Republican,Scott Conwell,9479,
Baltimore City,,Representative in Congress,,Both Parties,Other Write-Ins,29,
Baltimore,,Representative in Congress,,Democratic,Benjamin L. Cardin,48833,TRUE
Baltimore,,Representative in Congress,,Republican,Scott Conwell,20751,
Baltimore,,Representative in Congress,,Both Parties,Other Write-Ins,79,
Howard,,Representative in Congress,,Democratic,Benjamin L. Cardin,17447,TRUE
Howard,,Representative in Congress,,Republican,Scott Conwell,9307,
Howard,,Representative in Congress,,Both Parties,Other Write-Ins,26,
Montgomery,,Representative in Congress,,Democratic,Albert R. Wynn,48398,TRUE
Montgomery,,Representative in Congress,,Republican,John B. Kimble,26141,
Montgomery,,Representative in Congress,,Democratic,Mignon Davis,110,
Montgomery,,Representative in Congress,,Republican,Floyd W. Anderson,27,
Montgomery,,Representative in Congress,,Both Parties,Other Write-Ins,630,
Prince George's,,Representative in Congress,,Democratic,Albert R. Wynn,83246,TRUE
Prince George's,,Representative in Congress,,Republican,John B. Kimble,8749,
Prince George's,,Representative in Congress,,Democratic,Mignon Davis,52,
Prince George's,,Representative in Congress,,Republican,Floyd W. Anderson,6,
Prince George's,,Representative in Congress,,Both Parties,Other Write-Ins,196,
Anne Arundel,,Representative in Congress,,Democratic,Steny H. Hoyer,9936,TRUE
Anne Arundel,,Representative in Congress,,Republican,Joseph T. Crawford,9411,
Anne Arundel,,Representative in Congress,,Green,B. Auerbach,28,
Anne Arundel,,Representative in Congress,,Both Parties,Other Write-Ins,14,
Calvert,,Representative in Congress,,Democratic,Steny H. Hoyer,15710,TRUE
Calvert,,Representative in Congress,,Republican,Joseph T. Crawford,10310,
Calvert,,Representative in Congress,,Green,B. Auerbach,10,
Calvert,,Representative in Congress,,Both Parties,Other Write-Ins,20,
Charles,,Representative in Congress,,Democratic,Steny H. Hoyer,22646,TRUE
Charles,,Representative in Congress,,Republican,Joseph T. Crawford,12391,
Charles,,Representative in Congress,,Green,B. Auerbach,14,
Charles,,Representative in Congress,,Both Parties,Other Write-Ins,20,
Prince George's,,Representative in Congress,,Democratic,Steny H. Hoyer,72825,TRUE
Prince George's,,Representative in Congress,,Republican,Joseph T. Crawford,19978,
Prince George's,,Representative in Congress,,Green,B. Auerbach,109,
Prince George's,,Representative in Congress,,Both Parties,Other Write-Ins,174,
St. Mary's,,Representative in Congress,,Democratic,Steny H. Hoyer,16786,TRUE
St. Mary's,,Representative in Congress,,Republican,Joseph T. Crawford,8668,
St. Mary's,,Representative in Congress,,Green,B. Auerbach,25,
St. Mary's,,Representative in Congress,,Both Parties,Other Write-Ins,12,
Allegany,,Representative in Congress,,Democratic,Donald M. DeArmon,7773,
Allegany,,Representative in Congress,,Republican,Roscoe G. Bartlett,13550,TRUE
