county,precinct,office,district,party,candidate,votes,winner
Allegany,,Governor,,Democratic,Kathleen Kennedy Townsend,7831,
Allegany,,Governor,,Republican,Robert L. Ehrlich,14416,TRUE
Allegany,,Governor,,Libertarian,Spear Lancaster,192,
Allegany,,Governor,,Democratic,Ralph Jaffe,0,
Allegany,,Governor,,Democratic,James T. Lynch,0,
Allegany,,Governor,,Both Parties,Other Write-Ins,9,
Anne Arundel,,Governor,,Democratic,Kathleen Kennedy Townsend,60753,
Anne Arundel,,Governor,,Republican,Robert L. Ehrlich,113968,TRUE
Anne Arundel,,Governor,,Libertarian,Spear Lancaster,1284,
Anne Arundel,,Governor,,Democratic,Ralph Jaffe,16,
Anne Arundel,,Governor,,Democratic,James T. Lynch,3,
Anne Arundel,,Governor,,Both Parties,Other Write-Ins,155,
Baltimore City,,Governor,,Democratic,Kathleen Kennedy Townsend,120070,
Baltimore City,,Governor,,Republican,Robert L. Ehrlich,38838,TRUE
Baltimore City,,Governor,,Libertarian,Spear Lancaster,1020,
Baltimore City,,Governor,,Democratic,Ralph Jaffe,52,
Baltimore City,,Governor,,Democratic,James T. Lynch,5,
Baltimore City,,Governor,,Both Parties,Other Write-Ins,121,
Baltimore,,Governor,,Democratic,Kathleen Kennedy Townsend,106195,
Baltimore,,Governor,,Republican,Robert L. Ehrlich,170920,TRUE
Baltimore,,Governor,,Libertarian,Spear Lancaster,1972,
Baltimore,,Governor,,Democratic,Ralph Jaffe,37,
Baltimore,,Governor,,Democratic,James T. Lynch,25,
Baltimore,,Governor,,Both Parties,Other Write-Ins,238,
Calvert,,Governor,,Democratic,Kathleen Kennedy Townsend,9854,
Calvert,,Governor,,Republican,Robert L. Ehrlich,16193,TRUE
Calvert,,Governor,,Libertarian,Spear Lancaster,192,
Calvert,,Governor,,Democratic,Ralph Jaffe,4,
Calvert,,Governor,,Democratic,James T. Lynch,0,
Calvert,,Governor,,Both Parties,Other Write-Ins,12,
Caroline,,Governor,,Democratic,Kathleen Kennedy Townsend,2069,
Caroline,,Governor,,Republican,Robert L. Ehrlich,6286,TRUE
Caroline,,Governor,,Libertarian,Spear Lancaster,55,
Caroline,,Governor,,Democratic,Ralph Jaffe,0,
Caroline,,Governor,,Democratic,James T. Lynch,0,
Caroline,,Governor,,Both Parties,Other Write-Ins,8,
Carroll,,Governor,,Democratic,Kathleen Kennedy Townsend,12107,
Carroll,,Governor,,Republican,Robert L. Ehrlich,47328,TRUE
Carroll,,Governor,,Libertarian,Spear Lancaster,456,
Carroll,,Governor,,Democratic,Ralph Jaffe,5,
Carroll,,Governor,,Democratic,James T. Lynch,1,
Carroll,,Governor,,Both Parties,Other Write-Ins,49,
Cecil,,Governor,,Democratic,Kathleen Kennedy Townsend,7668,
Cecil,,Governor,,Republican,Robert L. Ehrlich,16956,TRUE
Cecil,,Governor,,Libertarian,Spear Lancaster,248,
