county,precinct,office,district,party,candidate,votes,winner
Allegany,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,11844,
Allegany,,President,,Republican,George Bush/J. Danforth Quayle,17462,TRUE
Allegany,,President,,Libertarian,Ronald E. Paul/Andre Marrou,158,
Allegany,,President,,Other,Lenora B. Fulani/Joyce Dattner,39,
Allegany,,President,,Other,Kyle McDaniel Jr.,0,
Anne Arundel,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,55440,
Anne Arundel,,President,,Republican,George Bush/J. Danforth Quayle,98540,TRUE
Anne Arundel,,President,,Libertarian,Ronald E. Paul/Andre Marrou,814,
Anne Arundel,,President,,Other,Lenora B. Fulani/Joyce Dattner,307,
Anne Arundel,,President,,Other,Kyle McDaniel Jr.,0,
Baltimore City,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,170813,
Baltimore City,,President,,Republican,George Bush/J. Danforth Quayle,59089,TRUE
Baltimore City,,President,,Libertarian,Ronald E. Paul/Andre Marrou,963,
Baltimore City,,President,,Other,Lenora B. Fulani/Joyce Dattner,1479,
Baltimore City,,President,,Other,Kyle McDaniel Jr.,23,
Baltimore,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,121570,
Baltimore,,President,,Republican,George Bush/J. Danforth Quayle,163881,TRUE
Baltimore,,President,,Libertarian,Ronald E. Paul/Andre Marrou,1332,
Baltimore,,President,,Other,Lenora B. Fulani/Joyce Dattner,512,
Baltimore,,President,,Other,Kyle McDaniel Jr.,0,
Calvert,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,6376,
Calvert,,President,,Republican,George Bush/J. Danforth Quayle,10956,TRUE
Calvert,,President,,Libertarian,Ronald E. Paul/Andre Marrou,38,
Calvert,,President,,Other,Lenora B. Fulani/Joyce Dattner,27,
Calvert,,President,,Other,Kyle McDaniel Jr.,0,
Caroline,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,2440,
Caroline,,President,,Republican,George Bush/J. Danforth Quayle,4661,TRUE
Caroline,,President,,Libertarian,Ronald E. Paul/Andre Marrou,14,
Caroline,,President,,Other,Lenora B. Fulani/Joyce Dattner,8,
Caroline,,President,,Other,Kyle McDaniel Jr.,0,
Carroll,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,12368,
Carroll,,President,,Republican,George Bush/J. Danforth Quayle,31224,TRUE
Carroll,,President,,Libertarian,Ronald E. Paul/Andre Marrou,121,
Carroll,,President,,Other,Lenora B. Fulani/Joyce Dattner,33,
Carroll,,President,,Other,Kyle McDaniel Jr.,1,
Cecil,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,7807,
Cecil,,President,,Republican,George Bush/J. Danforth Quayle,13224,TRUE
Cecil,,President,,Libertarian,Ronald E. Paul/Andre Marrou,106,
Cecil,,President,,Other,Lenora B. Fulani/Joyce Dattner,18,
Cecil,,President,,Other,Kyle McDaniel Jr.,0,
Charles,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,11823,
Charles,,President,,Republican,George Bush/J. Danforth Quayle,20828,TRUE
Charles,,President,,Libertarian,Ronald E. Paul/Andre Marrou,61,
Charles,,President,,Other,Lenora B. Fulani/Joyce Dattner,52,
Charles,,President,,Other,Kyle McDaniel Jr.,0,
Dorchester,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,3709,
Dorchester,,President,,Republican,George Bush/J. Danforth Quayle,6343,TRUE
Dorchester,,President,,Libertarian,Ronald E. Paul/Andre Marrou,63,
Dorchester,,President,,Other,Lenora B. Fulani/Joyce Dattner,25,
Dorchester,,President,,Other,Kyle McDaniel Jr.,0,
Frederick,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,17061,
Frederick,,President,,Republican,George Bush/J. Danforth Quayle,32575,TRUE
Frederick,,President,,Libertarian,Ronald E. Paul/Andre Marrou,183,
Frederick,,President,,Other,Lenora B. Fulani/Joyce Dattner,48,
Frederick,,President,,Other,Kyle McDaniel Jr.,0,
Garrett,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,2557,
Garrett,,President,,Republican,George Bush/J. Danforth Quayle,6665,TRUE
Garrett,,President,,Libertarian,Ronald E. Paul/Andre Marrou,48,
Garrett,,President,,Other,Lenora B. Fulani/Joyce Dattner,12,
Garrett,,President,,Other,Kyle McDaniel Jr.,0,
Harford,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,19803,
Harford,,President,,Republican,George Bush/J. Danforth Quayle,38493,TRUE
Harford,,President,,Libertarian,Ronald E. Paul/Andre Marrou,175,
Harford,,President,,Other,Lenora B. Fulani/Joyce Dattner,95,
Harford,,President,,Other,Kyle McDaniel Jr.,0,
Howard,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,34007,
Howard,,President,,Republican,George Bush/J. Danforth Quayle,44153,TRUE
Howard,,President,,Libertarian,Ronald E. Paul/Andre Marrou,217,
Howard,,President,,Other,Lenora B. Fulani/Joyce Dattner,153,
Howard,,President,,Other,Kyle McDaniel Jr.,0,
Kent,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,2925,
Kent,,President,,Republican,George Bush/J. Danforth Quayle,3761,TRUE
Kent,,President,,Libertarian,Ronald E. Paul/Andre Marrou,28,
Kent,,President,,Other,Lenora B. Fulani/Joyce Dattner,18,
Kent,,President,,Other,Kyle McDaniel Jr.,0,
Montgomery,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,165187,
Montgomery,,President,,Republican,George Bush/J. Danforth Quayle,154191,TRUE
Montgomery,,President,,Libertarian,Ronald E. Paul/Andre Marrou,891,
Montgomery,,President,,Other,Lenora B. Fulani/Joyce Dattner,627,
Montgomery,,President,,Other,Kyle McDaniel Jr.,0,
Prince George's,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,133816,
Prince George's,,President,,Republican,George Bush/J. Danforth Quayle,86545,TRUE
Prince George's,,President,,Libertarian,Ronald E. Paul/Andre Marrou,1000,
Prince George's,,President,,Other,Lenora B. Fulani/Joyce Dattner,1520,
Prince George's,,President,,Other,Kyle McDaniel Jr.,0,
Queen Anne's,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,3857,
Queen Anne's,,President,,Republican,George Bush/J. Danforth Quayle,7803,TRUE
Queen Anne's,,President,,Libertarian,Ronald E. Paul/Andre Marrou,39,
Queen Anne's,,President,,Other,Lenora B. Fulani/Joyce Dattner,4,
Queen Anne's,,President,,Other,Kyle McDaniel Jr.,0,
St. Mary's,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,7434,
St. Mary's,,President,,Republican,George Bush/J. Danforth Quayle,12767,TRUE
St. Mary's,,President,,Libertarian,Ronald E. Paul/Andre Marrou,58,
St. Mary's,,President,,Other,Lenora B. Fulani/Joyce Dattner,8,
St. Mary's,,President,,Other,Kyle McDaniel Jr.,0,
Somerset,,President,,Democratic,Michael S. Dukakis/Lloyd Bentsen,2911,
Somerset,,President,,Republican,George Bush/J. Danforth Quayle,4222,TRUE
Somerset,,President,,Libertarian,Ronald E. Paul/Andre Marrou,24,
Somerset,,President,,Other,Lenora B. Fulani/Joyce Dattner,31,
Somerset,,President,,Other,Kyle McDaniel Jr.,0,
