county,precinct,office,district,party,candidate,votes,winner
Allegany,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,11333,TRUE
Allegany,,Governor,,Republican,Ellen R. Sauerbrey/Richard D. Bennett,10593,
Allegany,,Governor,,Democratic,(Write-in) Jacqueline Crabtree/Frankie Wayne Jackson,0,
Anne Arundel,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,66428,TRUE
Anne Arundel,,Governor,,Republican,Ellen R. Sauerbrey/Richard D. Bennett,87216,
Anne Arundel,,Governor,,Democratic,(Write-in) Jacqueline Crabtree/Frankie Wayne Jackson,362,
Baltimore City,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,125686,TRUE
Baltimore City,,Governor,,Republican,Ellen R. Sauerbrey/Richard D. Bennett,30140,
Baltimore City,,Governor,,Democratic,(Write-in) Jacqueline Crabtree/Frankie Wayne Jackson,42,
Baltimore,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,118832,TRUE
Baltimore,,Governor,,Republican,Ellen R. Sauerbrey/Richard D. Bennett,122140,
Baltimore,,Governor,,Democratic,(Write-in) Jacqueline Crabtree/Frankie Wayne Jackson,51,
Calvert,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,9723,TRUE
Calvert,,Governor,,Republican,Ellen R. Sauerbrey/Richard D. Bennett,12689,
Calvert,,Governor,,Democratic,(Write-in) Jacqueline Crabtree/Frankie Wayne Jackson,5,
Caroline,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,2270,TRUE
Caroline,,Governor,,Republican,Ellen R. Sauerbrey/Richard D. Bennett,4658,
Caroline,,Governor,,Democratic,(Write-in) Jacqueline Crabtree/Frankie Wayne Jackson,1,
Carroll,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,14938,TRUE
Carroll,,Governor,,Republican,Ellen R. Sauerbrey/Richard D. Bennett,32637,
Carroll,,Governor,,Democratic,(Write-in) Jacqueline Crabtree/Frankie Wayne Jackson,15,
