county,precinct,office,district,party,candidate,votes,winner
Garrett,,Governor,,Other,Carol Thies,1,
Harford,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,22090,TRUE
Harford,,Governor,,Republican,William S. Shepard/Lois B. Shepard,20832,
Harford,,Governor,,Other,Carol Thies,2,
Howard,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,32158,TRUE
Howard,,Governor,,Republican,William S. Shepard/Lois B. Shepard,19809,
Howard,,Governor,,Other,Carol Thies,14,
Kent,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,2293,TRUE
Kent,,Governor,,Republican,William S. Shepard/Lois B. Shepard,3095,
Kent,,Governor,,Other,Carol Thies,0,
Montgomery,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,143948,TRUE
Montgomery,,Governor,,Republican,William S. Shepard/Lois B. Shepard,61444,
Montgomery,,Governor,,Other,Carol Thies,41,
Prince George's,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,102642,TRUE
Prince George's,,Governor,,Republican,William S. Shepard/Lois B. Shepard,27520,
Prince George's,,Governor,,Other,Carol Thies,32,
Queen Anne's,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,2821,TRUE
Queen Anne's,,Governor,,Republican,William S. Shepard/Lois B. Shepard,6382,
Queen Anne's,,Governor,,Other,Carol Thies,0,
St. Mary's,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,8838,TRUE
St. Mary's,,Governor,,Republican,William S. Shepard/Lois B. Shepard,5159,
St. Mary's,,Governor,,Other,Carol Thies,0,
Somerset,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,2912,TRUE
Somerset,,Governor,,Republican,William S. Shepard/Lois B. Shepard,3221,
Somerset,,Governor,,Other,Carol Thies,0,
Talbot,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,3375,TRUE
Talbot,,Governor,,Republican,William S. Shepard/Lois B. Shepard,5612,
Talbot,,Governor,,Other,Carol Thies,1,
Washington,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,9619,TRUE
Washington,,Governor,,Republican,William S. Shepard/Lois B. Shepard,16941,
Washington,,Governor,,Other,Carol Thies,2,
Wicomico,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,6647,TRUE
Wicomico,,Governor,,Republican,William S. Shepard/Lois B. Shepard,12057,
Wicomico,,Governor,,Other,Carol Thies,0,
Worcester,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,5623,TRUE
Worcester,,Governor,,Republican,William S. Shepard/Lois B. Shepard,5214,
Worcester,,Governor,,Other,Carol Thies,0,
Allegany,,Comptroller 005,,Democratic,Louis L. Goldstein,14613,TRUE
Allegany,,Comptroller 005,,Republican,Larry M. Epstein,4866,
Allegany,,Comptroller 005,,Other,Rachele Fruit,0,
Anne Arundel,,Comptroller 005,,Democratic,Louis L. Goldstein,78293,TRUE
Anne Arundel,,Comptroller 005,,Republican,Larry M. Epstein,35833,
Anne Arundel,,Comptroller 005,,Other,Rachele Fruit,3,
Baltimore City,,Comptroller 005,,Democratic,Louis L. Goldstein,85839,TRUE
Baltimore City,,Comptroller 005,,Republican,Larry M. Epstein,19499,
Baltimore City,,Comptroller 005,,Other,Rachele Fruit,9,
Baltimore,,Comptroller 005,,Democratic,Louis L. Goldstein,125817,TRUE
Baltimore,,Comptroller 005,,Republican,Larry M. Epstein,61233,
Baltimore,,Comptroller 005,,Other,Rachele Fruit,1,
Calvert,,Comptroller 005,,Democratic,Louis L. Goldstein,9991,TRUE
Calvert,,Comptroller 005,,Republican,Larry M. Epstein,3688,
Calvert,,Comptroller 005,,Other,Rachele Fruit,0,
Caroline,,Comptroller 005,,Democratic,Louis L. Goldstein,3810,TRUE
Caroline,,Comptroller 005,,Republican,Larry M. Epstein,1588,
Caroline,,Comptroller 005,,Other,Rachele Fruit,0,
Carroll,,Comptroller 005,,Democratic,Louis L. Goldstein,20943,TRUE
Carroll,,Comptroller 005,,Republican,Larry M. Epstein,11504,
Carroll,,Comptroller 005,,Other,Rachele Fruit,0,
Cecil,,Comptroller 005,,Democratic,Louis L. Goldstein,10176,TRUE
Cecil,,Comptroller 005,,Republican,Larry M. Epstein,4158,
Cecil,,Comptroller 005,,Other,Rachele Fruit,0,
Charles,,Comptroller 005,,Democratic,Louis L. Goldstein,13425,TRUE
Charles,,Comptroller 005,,Republican,Larry M. Epstein,5017,
Charles,,Comptroller 005,,Other,Rachele Fruit,0,
Dorchester,,Comptroller 005,,Democratic,Louis L. Goldstein,5446,TRUE
Dorchester,,Comptroller 005,,Republican,Larry M. Epstein,1977,
Dorchester,,Comptroller 005,,Other,Rachele Fruit,0,
Frederick,,Comptroller 005,,Democratic,Louis L. Goldstein,20725,TRUE
Frederick,,Comptroller 005,,Republican,Larry M. Epstein,11562,
Frederick,,Comptroller 005,,Other,Rachele Fruit,0,
Garrett,,Comptroller 005,,Democratic,Louis L. Goldstein,3928,TRUE
Garrett,,Comptroller 005,,Republican,Larry M. Epstein,2105,
Garrett,,Comptroller 005,,Other,Rachele Fruit,0,
Harford,,Comptroller 005,,Democratic,Louis L. Goldstein,31701,TRUE
Harford,,Comptroller 005,,Republican,Larry M. Epstein,12937,
Harford,,Comptroller 005,,Other,Rachele Fruit,0,
Howard,,Comptroller 005,,Democratic,Louis L. Goldstein,34180,TRUE
Howard,,Comptroller 005,,Republican,Larry M. Epstein,17411,
Howard,,Comptroller 005,,Other,Rachele Fruit,3,
Kent,,Comptroller 005,,Democratic,Louis L. Goldstein,4016,TRUE
Kent,,Comptroller 005,,Republican,Larry M. Epstein,1229,
Kent,,Comptroller 005,,Other,Rachele Fruit,0,
Montgomery,,Comptroller 005,,Democratic,Louis L. Goldstein,143731,TRUE
Montgomery,,Comptroller 005,,Republican,Larry M. Epstein,55257,
Montgomery,,Comptroller 005,,Other,Rachele Fruit,5,
Prince George's,,Comptroller 005,,Democratic,Louis L. Goldstein,97494,TRUE
Prince George's,,Comptroller 005,,Republican,Larry M. Epstein,23480,
Prince George's,,Comptroller 005,,Other,Rachele Fruit,3,
Queen Anne's,,Comptroller 005,,Democratic,Louis L. Goldstein,6429,TRUE
Queen Anne's,,Comptroller 005,,Republican,Larry M. Epstein,2461,
Queen Anne's,,Comptroller 005,,Other,Rachele Fruit,0,
St. Mary's,,Comptroller 005,,Democratic,Louis L. Goldstein,10814,TRUE
St. Mary's,,Comptroller 005,,Republican,Larry M. Epstein,3045,
St. Mary's,,Comptroller 005,,Other,Rachele Fruit,0,
Somerset,,Comptroller 005,,Democratic,Louis L. Goldstein,4692,TRUE
Somerset,,Comptroller 005,,Republican,Larry M. Epstein,1174,
Somerset,,Comptroller 005,,Other,Rachele Fruit,0,
Talbot,,Comptroller 005,,Democratic,Louis L. Goldstein,5994,TRUE
Talbot,,Comptroller 005,,Republican,Larry M. Epstein,2576,
Talbot,,Comptroller 005,,Other,Rachele Fruit,1,
Washington,,Comptroller 005,,Democratic,Louis L. Goldstein,17464,TRUE
Washington,,Comptroller 005,,Republican,Larry M. Epstein,7265,
Washington,,Comptroller 005,,Other,Rachele Fruit,0,
Wicomico,,Comptroller 005,,Democratic,Louis L. Goldstein,12901,TRUE
Wicomico,,Comptroller 005,,Republican,Larry M. Epstein,5218,
Wicomico,,Comptroller 005,,Other,Rachele Fruit,0,
Worcester,,Comptroller 005,,Democratic,Louis L. Goldstein,7810,TRUE
Worcester,,Comptroller 005,,Republican,Larry M. Epstein,2578,
Worcester,,Comptroller 005,,Other,Rachele Fruit,0,
Allegany,,Attorney General,,Democratic,J. Joseph Curran Jr.,10215,TRUE
Allegany,,Attorney General,,Republican,Edward L. Blanton Jr.,5577,
Anne Arundel,,Attorney General,,Democratic,J. Joseph Curran Jr.,63390,TRUE
Anne Arundel,,Attorney General,,Republican,Edward L. Blanton Jr.,46472,
Baltimore City,,Attorney General,,Democratic,J. Joseph Curran Jr.,85429,TRUE
Baltimore City,,Attorney General,,Republican,Edward L. Blanton Jr.,18245,
Baltimore,,Attorney General,,Democratic,J. Joseph Curran Jr.,112175,TRUE
Baltimore,,Attorney General,,Republican,Edward L. Blanton Jr.,69399,
Calvert,,Attorney General,,Democratic,J. Joseph Curran Jr.,6805,TRUE
Calvert,,Attorney General,,Republican,Edward L. Blanton Jr.,4142,
Caroline,,Attorney General,,Democratic,J. Joseph Curran Jr.,2871,TRUE
Caroline,,Attorney General,,Republican,Edward L. Blanton Jr.,1886,
Carroll,,Attorney General,,Democratic,J. Joseph Curran Jr.,16940,TRUE
Carroll,,Attorney General,,Republican,Edward L. Blanton Jr.,14450,
Cecil,,Attorney General,,Democratic,J. Joseph Curran Jr.,7530,TRUE
Cecil,,Attorney General,,Republican,Edward L. Blanton Jr.,5585,
Charles,,Attorney General,,Democratic,J. Joseph Curran Jr.,9814,TRUE
Charles,,Attorney General,,Republican,Edward L. Blanton Jr.,6262,
Dorchester,,Attorney General,,Democratic,J. Joseph Curran Jr.,4167,TRUE
Dorchester,,Attorney General,,Republican,Edward L. Blanton Jr.,2161,
Frederick,,Attorney General,,Democratic,J. Joseph Curran Jr.,15627,TRUE
Frederick,,Attorney General,,Republican,Edward L. Blanton Jr.,14509,
Garrett,,Attorney General,,Democratic,J. Joseph Curran Jr.,2332,TRUE
Garrett,,Attorney General,,Republican,Edward L. Blanton Jr.,2614,
Harford,,Attorney General,,Democratic,J. Joseph Curran Jr.,26424,TRUE
Harford,,Attorney General,,Republican,Edward L. Blanton Jr.,16899,
Howard,,Attorney General,,Democratic,J. Joseph Curran Jr.,29109,TRUE
Howard,,Attorney General,,Republican,Edward L. Blanton Jr.,21425,
Kent,,Attorney General,,Democratic,J. Joseph Curran Jr.,2928,TRUE
Kent,,Attorney General,,Republican,Edward L. Blanton Jr.,1567,
Montgomery,,Attorney General,,Democratic,J. Joseph Curran Jr.,126113,TRUE
Montgomery,,Attorney General,,Republican,Edward L. Blanton Jr.,66047,
Prince George's,,Attorney General,,Democratic,J. Joseph Curran Jr.,86903,TRUE
Prince George's,,Attorney General,,Republican,Edward L. Blanton Jr.,26417,
Queen Anne's,,Attorney General,,Democratic,J. Joseph Curran Jr.,4689,TRUE
Queen Anne's,,Attorney General,,Republican,Edward L. Blanton Jr.,3067,
St. Mary's,,Attorney General,,Democratic,J. Joseph Curran Jr.,7707,TRUE
St. Mary's,,Attorney General,,Republican,Edward L. Blanton Jr.,4025,
Somerset,,Attorney General,,Democratic,J. Joseph Curran Jr.,2978,TRUE
Somerset,,Attorney General,,Republican,Edward L. Blanton Jr.,1747,
Talbot,,Attorney General,,Democratic,J. Joseph Curran Jr.,4236,TRUE
Talbot,,Attorney General,,Republican,Edward L. Blanton Jr.,3293,
Washington,,Attorney General,,Democratic,J. Joseph Curran Jr.,9874,TRUE
Washington,,Attorney General,,Republican,Edward L. Blanton Jr.,9975,
Wicomico,,Attorney General,,Democratic,J. Joseph Curran Jr.,8932,TRUE
Wicomico,,Attorney General,,Republican,Edward L. Blanton Jr.,6703,
Worcester,,Attorney General,,Democratic,J. Joseph Curran Jr.,5899,TRUE
Worcester,,Attorney General,,Republican,Edward L. Blanton Jr.,3316,
Calvert,,Representative in Congress,,Democratic,Roy Dyson,5679,
Calvert,,Representative in Congress,,Republican,Wayne T. Gilchrest,7605,TRUE
Caroline,,Representative in Congress,,Democratic,Roy Dyson,1990,
Caroline,,Representative in Congress,,Republican,Wayne T. Gilchrest,3697,TRUE
Cecil,,Representative in Congress,,Democratic,Roy Dyson,6543,
Cecil,,Representative in Congress,,Republican,Wayne T. Gilchrest,8866,TRUE
Charles,,Representative in Congress,,Democratic,Roy Dyson,9535,
Charles,,Representative in Congress,,Republican,Wayne T. Gilchrest,10312,TRUE
Dorchester,,Representative in Congress,,Democratic,Roy Dyson,3849,
Dorchester,,Representative in Congress,,Republican,Wayne T. Gilchrest,4450,TRUE
Harford,,Representative in Congress,,Democratic,Roy Dyson,5987,
Harford,,Representative in Congress,,Republican,Wayne T. Gilchrest,11722,TRUE
Kent,,Representative in Congress,,Democratic,Roy Dyson,1434,
Kent,,Representative in Congress,,Republican,Wayne T. Gilchrest,4191,TRUE
Queen Anne's,,Representative in Congress,,Democratic,Roy Dyson,2491,
Queen Anne's,,Representative in Congress,,Republican,Wayne T. Gilchrest,6823,TRUE
St. Mary's,,Representative in Congress,,Democratic,Roy Dyson,9642,
St. Mary's,,Representative in Congress,,Republican,Wayne T. Gilchrest,5215,TRUE
Somerset,,Representative in Congress,,Democratic,Roy Dyson,3797,
Somerset,,Representative in Congress,,Republican,Wayne T. Gilchrest,2731,TRUE
Talbot,,Representative in Congress,,Democratic,Roy Dyson,1976,
Talbot,,Representative in Congress,,Republican,Wayne T. Gilchrest,7181,TRUE
Wicomico,,Representative in Congress,,Democratic,Roy Dyson,8935,
Wicomico,,Representative in Congress,,Republican,Wayne T. Gilchrest,10558,TRUE
Worcester,,Representative in Congress,,Democratic,Roy Dyson,5660,
Worcester,,Representative in Congress,,Republican,Wayne T. Gilchrest,5569,TRUE
Baltimore,,Representative in Congress,,Democratic,Ronald P. Bowers,32684,
Baltimore,,Representative in Congress,,Republican,Helen Delich Bentley,95140,TRUE
Harford,,Representative in Congress,,Democratic,Ronald P. Bowers,7101,
Harford,,Representative in Congress,,Republican,Helen Delich Bentley,20258,TRUE
Baltimore City,,Representative in Congress,,Democratic,Benjamin L. Cardin,38297,TRUE
Baltimore City,,Representative in Congress,,Republican,Harwood Nichols,13793,
Baltimore,,Representative in Congress,,Democratic,Benjamin L. Cardin,31225,TRUE
Baltimore,,Representative in Congress,,Republican,Harwood Nichols,14401,
Howard,,Representative in Congress,,Democratic,Benjamin L. Cardin,13023,TRUE
Howard,,Representative in Congress,,Republican,Harwood Nichols,7647,
Anne Arundel,,Representative in Congress,,Democratic,Thomas McMillen,61585,TRUE
Anne Arundel,,Representative in Congress,,Republican,Robert P. Duckworth,52842,
Howard,,Representative in Congress,,Democratic,Thomas McMillen,4695,TRUE
Howard,,Representative in Congress,,Republican,Robert P. Duckworth,3198,
Prince George's,,Representative in Congress,,Democratic,Thomas McMillen,19321,TRUE
Prince George's,,Representative in Congress,,Republican,Robert P. Duckworth,3806,
Prince George's,,Representative in Congress,,Democratic,Steny H. Hoyer,84747,TRUE
Prince George's,,Representative in Congress,,Republican,Lee F. Breuer,20314,
Allegany,,Representative in Congress,,Democratic,Beverly B. Byron,15248,TRUE
Allegany,,Representative in Congress,,Republican,Christopher P. Fiotes Jr.,4468,
Carroll,,Representative in Congress,,Democratic,Beverly B. Byron,21730,TRUE
Carroll,,Representative in Congress,,Republican,Christopher P. Fiotes Jr.,10784,
Frederick,,Representative in Congress,,Democratic,Beverly B. Byron,22116,TRUE
Frederick,,Representative in Congress,,Republican,Christopher P. Fiotes Jr.,10946,
Garrett,,Representative in Congress,,Democratic,Beverly B. Byron,4671,TRUE
Garrett,,Representative in Congress,,Republican,Christopher P. Fiotes Jr.,1764,
Howard,,Representative in Congress,,Democratic,Beverly B. Byron,12935,TRUE
Howard,,Representative in Congress,,Republican,Christopher P. Fiotes Jr.,8975,
Montgomery,,Representative in Congress,,Democratic,Beverly B. Byron,14851,TRUE
Montgomery,,Representative in Congress,,Republican,Christopher P. Fiotes Jr.,10634,
Washington,,Representative in Congress,,Democratic,Beverly B. Byron,14951,TRUE
Washington,,Representative in Congress,,Republican,Christopher P. Fiotes Jr.,8908,
Baltimore City,,Representative in Congress,,Democratic,Kweisi Mfume,51438,TRUE
Baltimore City,,Representative in Congress,,Republican,Kenneth Kondner,5850,
Baltimore City,,Representative in Congress,,Other,Glova Scott,2,
Baltimore,,Representative in Congress,,Democratic,Kweisi Mfume,8190,TRUE
Baltimore,,Representative in Congress,,Republican,Kenneth Kondner,4679,
Baltimore,,Representative in Congress,,Other,Glova Scott,1,
Montgomery,,Representative in Congress,,Democratic,James Walker Jr.,39343,
Montgomery,,Representative in Congress,,Republican,Constance A. Morella,130059,TRUE
Montgomery,,Representative in Congress,,Independent,Sidney Altman,7485,
Allegany,,State Senator,,Democratic,Daniel F. McMullen,7866,
Allegany,,State Senator,,Republican,John J. Hafer,9334,TRUE
Garrett,,State Senator,,Democratic,Daniel F. McMullen,2260,
Garrett,,State Senator,,Republican,John J. Hafer,5063,TRUE
Allegany,,State Senator,,Democratic,Patricia K. Cushwa,2460,
Allegany,,State Senator,,Republican,Donald F. Munson,1325,TRUE
Washington,,State Senator,,Democratic,Patricia K. Cushwa,5017,
Washington,,State Senator,,Republican,Donald F. Munson,12046,TRUE
Frederick,,State Senator,,Democratic,John W. Derr,12003,TRUE
Washington,,State Senator,,Democratic,John W. Derr,4867,TRUE
Carroll,,State Senator,,Democratic,Charles H. Smelser,4619,TRUE
Frederick,,State Senator,,Democratic,Charles H. Smelser,11965,TRUE
Howard,,State Senator,,Democratic,Charles H. Smelser,1439,TRUE
Baltimore,,State Senator,,Democratic,J. Jeffrey Griffith,2527,
Baltimore,,State Senator,,Republican,Larry E. Haines,2018,TRUE
Carroll,,State Senator,,Democratic,J. Jeffrey Griffith,11846,
Carroll,,State Senator,,Republican,Larry E. Haines,14382,TRUE
Baltimore,,State Senator,,Democratic,Michael J. Collins,10500,TRUE
Baltimore,,State Senator,,Republican,George Egbert,4961,
Baltimore,,State Senator,,Independent,Frederick George Schiesser,1985,
Baltimore,,State Senator,,Democratic,Matko Lee Chullin III,113,
Baltimore,,State Senator,,Democratic,Norman R. Stone Jr.,14821,TRUE
Baltimore,,State Senator,,Democratic,Thomas L. Bromwell,15710,TRUE
Baltimore,,State Senator,,Republican,William Rush,13286,
Baltimore,,State Senator,,Democratic,Kauko H. Kokkonen,5111,
Baltimore,,State Senator,,Republican,F. Vernon Boozer,20175,TRUE
Baltimore,,State Senator,,Democratic,Janice Piccinini,19299,TRUE
Baltimore,,State Senator,,Republican,Richard M. Cornwell,15334,
Baltimore City,,State Senator,,Democratic,Paula Colodny Hollinger,21077,TRUE
Baltimore,,State Senator,,Democratic,Nancy L. Murphy,12984,TRUE
Baltimore,,State Senator,,Republican,Dennis Lanahan,10534,
Howard,,State Senator,,Democratic,Thomas M. Yeager,12579,TRUE
Howard,,State Senator,,Republican,Guy L. Harriman,9240,
Prince George's,,State Senator,,Democratic,Thomas M. Yeager,4487,TRUE
Prince George's,,State Senator,,Republican,Guy L. Harriman,2880,
Howard,,State Senator,,Democratic,Edward J. Kasemeyer,12862,
Howard,,State Senator,,Republican,Christopher J. McCabe,13898,TRUE
Montgomery,,State Senator,,Democratic,Edward J. Kasemeyer,10495,
Montgomery,,State Senator,,Republican,Christopher J. McCabe,10095,TRUE
Montgomery,,State Senator,,Democratic,Laurence Levitan,22862,TRUE
Montgomery,,State Senator,,Republican,Robert J. Miller,16821,
Montgomery,,State Senator,,Democratic,Charles F. Chester,14047,
Montgomery,,State Senator,,Republican,Howard A. Denis,20041,TRUE
Montgomery,,State Senator,,Democratic,Mary Boergers,15305,TRUE
Montgomery,,State Senator,,Republican,William J. Skinner,6772,
Montgomery,,State Senator,,Democratic,Patricia R. Sher,17827,TRUE
Montgomery,,State Senator,,Democratic,Idamae T. Garrott,22178,TRUE
Montgomery,,State Senator,,Republican,Herbert S. Rosenberg,8504,
Montgomery,,State Senator,,Democratic,Ida G. Ruben,17941,TRUE
Montgomery,,State Senator,,Republican,Thomas R. Falcinelli,6912,
Prince George's,,State Senator,,Democratic,Arthur Dorman,12439,TRUE
Prince George's,,State Senator,,Republican,Abdullah Salim,2830,
Prince George's,,State Senator,,Democratic,Thomas Patrick O'Reilly,10754,TRUE
Prince George's,,State Senator,,Republican,Jack R. Jones,3002,
Prince George's,,State Senator,,Democratic,Donna Jo Campbell,34,
Prince George's,,State Senator,,Democratic,Leo E. Green,17190,TRUE
Prince George's,,State Senator,,Republican,R. Nicholas Palarino,6263,
Prince George's,,State Senator,,Democratic,Tommie Broadwater,1983,
Prince George's,,State Senator,,Democratic,Decatur W. Trotter,10339,TRUE
Prince George's,,State Senator,,Democratic,Albert R. Wynn,12884,TRUE
Prince George's,,State Senator,,Democratic,Gloria Lawlah,12231,TRUE
Prince George's,,State Senator,,Democratic,Thomas V. Mike Miller Jr.,17729,TRUE
Prince George's,,State Senator,,Republican,John Eugene Sellner,3423,
Charles,,State Senator,,Democratic,James C. Simpson,11330,TRUE
Charles,,State Senator,,Republican,James H. Easter,7983,
St. Mary's,,State Senator,,Democratic,James C. Simpson,2072,TRUE
St. Mary's,,State Senator,,Republican,James H. Easter,1269,
Anne Arundel,,State Senator,,Democratic,Bernie Fowler,1541,TRUE
Anne Arundel,,State Senator,,Republican,Denzil L. Pritchard,1133,
Calvert,,State Senator,,Democratic,Bernie Fowler,9024,TRUE
Calvert,,State Senator,,Republican,Denzil L. Pritchard,4556,
St. Mary's,,State Senator,,Democratic,Bernie Fowler,7546,TRUE
St. Mary's,,State Senator,,Republican,Denzil L. Pritchard,2584,
Anne Arundel,,State Senator,,Democratic,Gerald William Winegrad,18698,TRUE
Anne Arundel,,State Senator,,Republican,Charles Thomann,11585,
Anne Arundel,,State Senator,,Democratic,Philip C. Jimeno,16715,TRUE
Anne Arundel,,State Senator,,Republican,John Leopold,13045,
Anne Arundel,,State Senator,,Democratic,Michael J. Wagner,16423,TRUE
Anne Arundel,,State Senator,,Democratic,John A. Cade,21321,TRUE
Harford,,State Senator,,Democratic,Habern Freeman,19050,TRUE
Cecil,,State Senator,,Democratic,William H. Amoss,4468,TRUE
Cecil,,State Senator,,Republican,James Cooper,2001,
Harford,,State Senator,,Democratic,William H. Amoss,11235,TRUE
Harford,,State Senator,,Republican,James Cooper,7852,
Caroline,,State Senator,,Democratic,Walter M. Baker,482,TRUE
Cecil,,State Senator,,Democratic,Walter M. Baker,5323,TRUE
Kent,,State Senator,,Democratic,Walter M. Baker,3033,TRUE
Queen Anne's,,State Senator,,Democratic,Walter M. Baker,4833,TRUE
Talbot,,State Senator,,Democratic,Walter M. Baker,760,TRUE
Caroline,,State Senator,,Democratic,Frederick C. Malkus Jr.,1930,TRUE
Caroline,,State Senator,,Republican,Kenneth Gelletly,2453,
Dorchester,,State Senator,,Democratic,Frederick C. Malkus Jr.,4577,TRUE
Dorchester,,State Senator,,Republican,Kenneth Gelletly,3371,
Talbot,,State Senator,,Democratic,Frederick C. Malkus Jr.,3382,TRUE
Talbot,,State Senator,,Republican,Kenneth Gelletly,2979,
Wicomico,,State Senator,,Democratic,Frederick C. Malkus Jr.,3455,TRUE
Wicomico,,State Senator,,Republican,Kenneth Gelletly,1930,
Somerset,,State Senator,,Republican,Lewis R. Riley,3164,TRUE
Wicomico,,State Senator,,Republican,Lewis R. Riley,8843,TRUE
Worcester,,State Senator,,Republican,Lewis R. Riley,6289,TRUE
Baltimore City,,State Senator,,Democratic,Larry Young,6844,TRUE
Baltimore City,,State Senator,,Democratic,Ralph M. Hughes,8813,TRUE
Baltimore City,,State Senator,,Republican,Melvin E. Stubbs,526,
Baltimore City,,State Senator,,Democratic,Clarence W. Blount,10681,TRUE
Baltimore City,,State Senator,,Democratic,Barbara Hoffman,13122,TRUE
Baltimore City,,State Senator,,Democratic,John A. Pica Jr.,9537,TRUE
Baltimore City,,State Senator,,Republican,James Brewster,8058,
Baltimore City,,State Senator,,Republican,Jullian L. Lapides,5,
Baltimore City,,State Senator,,Republican,Leonard J. Wolf,5,
Baltimore City,,State Senator,,Democratic,Nathan C. Irby Jr.,7393,TRUE
Baltimore City,,State Senator,,Republican,Lawrence E. Monaghan,654,
Baltimore City,,State Senator,,Democratic,American Joe Miedusiewski,10037,TRUE
Baltimore City,,State Senator,,Democratic,George W. Della Jr.,7132,TRUE
Allegany,,House of Delegates,,Democratic,George C. Edwards,573,TRUE
Garrett,,House of Delegates,,Democratic,George C. Edwards,4933,TRUE
Allegany,,House of Delegates,,Democratic,Kevin Kelly,11579,TRUE
Allegany,,House of Delegates,,Democratic,Betty Workman,11413,TRUE
Allegany,,House of Delegates,,Republican,H. Dolores Chase Morgan,5321,
Allegany,,House of Delegates,,Democratic,Casper R. Taylor,2768,TRUE
Allegany,,House of Delegates,,Republican,Robert L. Lewis,1320,
Washington,,House of Delegates,,Democratic,Casper R. Taylor,1348,TRUE
Washington,,House of Delegates,,Republican,Robert L. Lewis,874,
Washington,,House of Delegates,,Democratic,Peter Callas,4892,TRUE
Washington,,House of Delegates,,Democratic,John P. Donoghue,2746,TRUE
Washington,,House of Delegates,,Republican,Bertrand Iseminger,2712,
Washington,,House of Delegates,,Democratic,D. Bruce Poole,5945,TRUE
Washington,,House of Delegates,,Democratic,Shirley Spencer,333,
Frederick,,House of Delegates,,Democratic,James E. McClellan,7782,TRUE
Frederick,,House of Delegates,,Democratic,Royd Smith,7461,
Frederick,,House of Delegates,,Republican,James W. Respess,5364,
Frederick,,House of Delegates,,Republican,J. Anita Stup,8734,TRUE
Washington,,House of Delegates,,Democratic,James E. McClellan,641,TRUE
Washington,,House of Delegates,,Democratic,Royd Smith,498,
Washington,,House of Delegates,,Republican,James W. Respess,467,
Washington,,House of Delegates,,Republican,J. Anita Stup,521,TRUE
Frederick,,House of Delegates,,Democratic,Thomas H. Hattery,10209,TRUE
