county,precinct,office,district,party,candidate,votes,winner
Allegany,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,14624,TRUE
Allegany,,Governor,,Republican,William S. Shepard/Lois B. Shepard,7345,
Allegany,,Governor,,Other,Carol Thies,0,
Anne Arundel,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,56253,TRUE
Anne Arundel,,Governor,,Republican,William S. Shepard/Lois B. Shepard,58507,
Anne Arundel,,Governor,,Other,Carol Thies,13,
Baltimore City,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,81542,TRUE
Baltimore City,,Governor,,Republican,William S. Shepard/Lois B. Shepard,32260,
Baltimore City,,Governor,,Other,Carol Thies,7,
Baltimore,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,104689,TRUE
Baltimore,,Governor,,Republican,William S. Shepard/Lois B. Shepard,92602,
Baltimore,,Governor,,Other,Carol Thies,11,
Calvert,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,8003,TRUE
Calvert,,Governor,,Republican,William S. Shepard/Lois B. Shepard,5295,
Calvert,,Governor,,Other,Carol Thies,1,
Caroline,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,1751,TRUE
Caroline,,Governor,,Republican,William S. Shepard/Lois B. Shepard,3910,
Caroline,,Governor,,Other,Carol Thies,0,
Carroll,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,13037,TRUE
Carroll,,Governor,,Republican,William S. Shepard/Lois B. Shepard,18281,
Carroll,,Governor,,Other,Carol Thies,0,
Cecil,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,7671,TRUE
Cecil,,Governor,,Republican,William S. Shepard/Lois B. Shepard,7473,
Cecil,,Governor,,Other,Carol Thies,3,
Charles,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,12861,TRUE
Charles,,Governor,,Republican,William S. Shepard/Lois B. Shepard,6969,
Charles,,Governor,,Other,Carol Thies,2,
Dorchester,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,2599,TRUE
Dorchester,,Governor,,Republican,William S. Shepard/Lois B. Shepard,5324,
Dorchester,,Governor,,Other,Carol Thies,0,
Frederick,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,15398,TRUE
Frederick,,Governor,,Republican,William S. Shepard/Lois B. Shepard,17718,
Frederick,,Governor,,Other,Carol Thies,4,
Garrett,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,2621,TRUE
Garrett,,Governor,,Republican,William S. Shepard/Lois B. Shepard,4010,
