county,precinct,office,district,party,candidate,votes,winner
Allegany,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,9292,TRUE
Allegany,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,12388,
Allegany,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,0,
Anne Arundel,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,54920,TRUE
Anne Arundel,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,83663,
Anne Arundel,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,49,
Baltimore City,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,114022,TRUE
Baltimore City,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,38420,
Baltimore City,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,1,
Baltimore,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,102398,TRUE
Baltimore,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,134663,
Baltimore,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,15,
Calvert,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,7348,TRUE
Calvert,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,11430,
Calvert,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,0,
Caroline,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,2236,TRUE
Caroline,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,4529,
Caroline,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,0,
Carroll,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,12310,TRUE
Carroll,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,31787,
Carroll,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,5,
Cecil,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,6808,TRUE
Cecil,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,12020,
Cecil,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,0,
Charles,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,10074,TRUE
Charles,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,15737,
Charles,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,0,
Dorchester,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,3434,TRUE
Dorchester,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,5325,
Dorchester,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,0,
Frederick,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,17024,TRUE
