county,precinct,office,district,party,candidate,votes,winner
Frederick,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,30992,
Frederick,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,3,
Garrett,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,1859,TRUE
Garrett,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,6267,
Garrett,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,0,
Harford,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,22884,TRUE
Harford,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,42124,
Harford,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,4,
Howard,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,34198,TRUE
Howard,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,39466,
Howard,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,7,
Kent,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,2822,TRUE
Kent,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,3873,
Kent,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,1,
Montgomery,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,149015,TRUE
Montgomery,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,104988,
Montgomery,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,7,
Prince George's,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,114256,TRUE
Prince George's,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,52855,
Prince George's,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,0,
Queen Anne's,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,3994,TRUE
Queen Anne's,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,7451,
Queen Anne's,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,1,
St. Mary's,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,7902,TRUE
St. Mary's,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,11138,
St. Mary's,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,0,
Somerset,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,2324,TRUE
Somerset,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,3996,
Somerset,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,0,
Talbot,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,3743,TRUE
Talbot,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,7187,
Talbot,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,0,
Washington,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,11405,TRUE
Washington,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,20598,
Washington,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,11,
Wicomico,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,8766,TRUE
Wicomico,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,12938,
Wicomico,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,1,
Worcester,,Governor,,Democratic,Parris N. Glendening/Kathleen Kennedy Townsend,5060,TRUE
Worcester,,Governor,,Republican,Ellen R. Sauerbrey/Paul H. Rappaport,8266,
Worcester,,Governor,,Democratic,Don Allensworth/Linda K. Hartman,0,
Allegany,,Comptroller,,Democratic,Louis L. Goldstein,11434,TRUE
Allegany,,Comptroller,,Republican,Timothy R. Mayberry,7998,
Anne Arundel,,Comptroller,,Democratic,Louis L. Goldstein,73549,TRUE
Anne Arundel,,Comptroller,,Republican,Timothy R. Mayberry,62820,
Baltimore City,,Comptroller,,Democratic,Louis L. Goldstein,110562,TRUE
Baltimore City,,Comptroller,,Republican,Timothy R. Mayberry,24912,
Baltimore,,Comptroller,,Democratic,Louis L. Goldstein,132895,TRUE
Baltimore,,Comptroller,,Republican,Timothy R. Mayberry,82129,
Calvert,,Comptroller,,Democratic,Louis L. Goldstein,10623,TRUE
Calvert,,Comptroller,,Republican,Timothy R. Mayberry,7663,
Caroline,,Comptroller,,Democratic,Louis L. Goldstein,3442,TRUE
Caroline,,Comptroller,,Republican,Timothy R. Mayberry,2905,
Carroll,,Comptroller,,Democratic,Louis L. Goldstein,20344,TRUE
Carroll,,Comptroller,,Republican,Timothy R. Mayberry,22757,
Cecil,,Comptroller,,Democratic,Louis L. Goldstein,10089,TRUE
Cecil,,Comptroller,,Republican,Timothy R. Mayberry,7354,
Charles,,Comptroller,,Democratic,Louis L. Goldstein,13056,TRUE
Charles,,Comptroller,,Republican,Timothy R. Mayberry,11148,
Dorchester,,Comptroller,,Democratic,Louis L. Goldstein,4730,TRUE
Dorchester,,Comptroller,,Republican,Timothy R. Mayberry,3286,
Frederick,,Comptroller,,Democratic,Louis L. Goldstein,22219,TRUE
Frederick,,Comptroller,,Republican,Timothy R. Mayberry,24579,
Garrett,,Comptroller,,Democratic,Louis L. Goldstein,3939,TRUE
Garrett,,Comptroller,,Republican,Timothy R. Mayberry,3500,
Harford,,Comptroller,,Democratic,Louis L. Goldstein,36030,TRUE
Harford,,Comptroller,,Republican,Timothy R. Mayberry,27482,
Howard,,Comptroller,,Democratic,Louis L. Goldstein,38498,TRUE
Howard,,Comptroller,,Republican,Timothy R. Mayberry,32572,
Kent,,Comptroller,,Democratic,Louis L. Goldstein,4165,TRUE
Kent,,Comptroller,,Republican,Timothy R. Mayberry,2410,
Montgomery,,Comptroller,,Democratic,Louis L. Goldstein,148096,TRUE
Montgomery,,Comptroller,,Republican,Timothy R. Mayberry,96718,
Prince George's,,Comptroller,,Democratic,Louis L. Goldstein,107238,TRUE
Prince George's,,Comptroller,,Republican,Timothy R. Mayberry,43789,
Queen Anne's,,Comptroller,,Democratic,Louis L. Goldstein,5951,TRUE
Queen Anne's,,Comptroller,,Republican,Timothy R. Mayberry,4895,
St. Mary's,,Comptroller,,Democratic,Louis L. Goldstein,10694,TRUE
St. Mary's,,Comptroller,,Republican,Timothy R. Mayberry,7790,
Somerset,,Comptroller,,Democratic,Louis L. Goldstein,3940,TRUE
Somerset,,Comptroller,,Republican,Timothy R. Mayberry,2023,
Talbot,,Comptroller,,Democratic,Louis L. Goldstein,5275,TRUE
Talbot,,Comptroller,,Republican,Timothy R. Mayberry,4954,
Washington,,Comptroller,,Democratic,Louis L. Goldstein,14081,TRUE
Washington,,Comptroller,,Republican,Timothy R. Mayberry,17418,
Wicomico,,Comptroller,,Democratic,Louis L. Goldstein,11936,TRUE
Wicomico,,Comptroller,,Republican,Timothy R. Mayberry,9423,
Worcester,,Comptroller,,Democratic,Louis L. Goldstein,7066,TRUE
Worcester,,Comptroller,,Republican,Timothy R. Mayberry,6106,
Allegany,,Attorney General,,Democratic,J. Joseph Curran Jr.,7480,TRUE
Allegany,,Attorney General,,Republican,Richard D. Bennett,9943,
Anne Arundel,,Attorney General,,Democratic,J. Joseph Curran Jr.,61018,TRUE
Anne Arundel,,Attorney General,,Republican,Richard D. Bennett,73129,
Baltimore City,,Attorney General,,Democratic,J. Joseph Curran Jr.,110085,TRUE
Baltimore City,,Attorney General,,Republican,Richard D. Bennett,28867,
Baltimore,,Attorney General,,Democratic,J. Joseph Curran Jr.,112314,TRUE
Baltimore,,Attorney General,,Republican,Richard D. Bennett,107782,
Calvert,,Attorney General,,Democratic,J. Joseph Curran Jr.,6761,TRUE
Calvert,,Attorney General,,Republican,Richard D. Bennett,9566,
Caroline,,Attorney General,,Democratic,J. Joseph Curran Jr.,2515,TRUE
Caroline,,Attorney General,,Republican,Richard D. Bennett,3489,
Carroll,,Attorney General,,Democratic,J. Joseph Curran Jr.,15324,TRUE
Carroll,,Attorney General,,Republican,Richard D. Bennett,27009,
Cecil,,Attorney General,,Democratic,J. Joseph Curran Jr.,7570,TRUE
Cecil,,Attorney General,,Republican,Richard D. Bennett,9159,
Charles,,Attorney General,,Democratic,J. Joseph Curran Jr.,10153,TRUE
Charles,,Attorney General,,Republican,Richard D. Bennett,12572,
Dorchester,,Attorney General,,Democratic,J. Joseph Curran Jr.,3399,TRUE
Dorchester,,Attorney General,,Republican,Richard D. Bennett,4188,
Frederick,,Attorney General,,Democratic,J. Joseph Curran Jr.,16622,TRUE
Frederick,,Attorney General,,Republican,Richard D. Bennett,28704,
Garrett,,Attorney General,,Democratic,J. Joseph Curran Jr.,2092,TRUE
Garrett,,Attorney General,,Republican,Richard D. Bennett,4621,
Harford,,Attorney General,,Democratic,J. Joseph Curran Jr.,27592,TRUE
Harford,,Attorney General,,Republican,Richard D. Bennett,34797,
Howard,,Attorney General,,Democratic,J. Joseph Curran Jr.,34668,TRUE
Howard,,Attorney General,,Republican,Richard D. Bennett,35942,
Kent,,Attorney General,,Democratic,J. Joseph Curran Jr.,3279,TRUE
Kent,,Attorney General,,Republican,Richard D. Bennett,2965,
Montgomery,,Attorney General,,Democratic,J. Joseph Curran Jr.,136164,TRUE
Montgomery,,Attorney General,,Republican,Richard D. Bennett,105738,
Prince George's,,Attorney General,,Democratic,J. Joseph Curran Jr.,104909,TRUE
Prince George's,,Attorney General,,Republican,Richard D. Bennett,45230,
Queen Anne's,,Attorney General,,Democratic,J. Joseph Curran Jr.,4473,TRUE
Queen Anne's,,Attorney General,,Republican,Richard D. Bennett,5822,
St. Mary's,,Attorney General,,Democratic,J. Joseph Curran Jr.,7663,TRUE
St. Mary's,,Attorney General,,Republican,Richard D. Bennett,9831,
Somerset,,Attorney General,,Democratic,J. Joseph Curran Jr.,2043,TRUE
Somerset,,Attorney General,,Republican,Richard D. Bennett,3192,
Talbot,,Attorney General,,Democratic,J. Joseph Curran Jr.,3741,TRUE
Talbot,,Attorney General,,Republican,Richard D. Bennett,5908,
Washington,,Attorney General,,Democratic,J. Joseph Curran Jr.,10625,TRUE
Washington,,Attorney General,,Republican,Richard D. Bennett,19290,
Wicomico,,Attorney General,,Democratic,J. Joseph Curran Jr.,7455,TRUE
Wicomico,,Attorney General,,Republican,Richard D. Bennett,13194,
Worcester,,Attorney General,,Democratic,J. Joseph Curran Jr.,5224,TRUE
Worcester,,Attorney General,,Republican,Richard D. Bennett,7584,
Allegany,,U.S. Senator,,Democratic,Paul S. Sarbanes,11185,
Allegany,,U.S. Senator,,Republican,William Brock,9190,
Allegany,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,0,
Anne Arundel,,U.S. Senator,,Democratic,Paul S. Sarbanes,66138,
Anne Arundel,,U.S. Senator,,Republican,William Brock,71255,
Anne Arundel,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,14,
Baltimore City,,U.S. Senator,,Democratic,Paul S. Sarbanes,118796,
Baltimore City,,U.S. Senator,,Republican,William Brock,26632,
Baltimore City,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,3,
Baltimore,,U.S. Senator,,Democratic,Paul S. Sarbanes,126189,
Baltimore,,U.S. Senator,,Republican,William Brock,98813,
Baltimore,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,33,
Calvert,,U.S. Senator,,Democratic,Paul S. Sarbanes,8978,
Calvert,,U.S. Senator,,Republican,William Brock,8896,
Calvert,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,0,
Caroline,,U.S. Senator,,Democratic,Paul S. Sarbanes,3089,
Caroline,,U.S. Senator,,Republican,William Brock,3411,
Caroline,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,0,
Carroll,,U.S. Senator,,Democratic,Paul S. Sarbanes,18386,
Carroll,,U.S. Senator,,Republican,William Brock,24913,
Carroll,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,4,
Cecil,,U.S. Senator,,Democratic,Paul S. Sarbanes,9140,
Cecil,,U.S. Senator,,Republican,William Brock,8935,
Cecil,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,0,
Charles,,U.S. Senator,,Democratic,Paul S. Sarbanes,12986,
Charles,,U.S. Senator,,Republican,William Brock,12131,
Charles,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,0,
Dorchester,,U.S. Senator,,Democratic,Paul S. Sarbanes,4377,
Dorchester,,U.S. Senator,,Republican,William Brock,3896,
Dorchester,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,0,
Frederick,,U.S. Senator,,Democratic,Paul S. Sarbanes,21402,
Frederick,,U.S. Senator,,Republican,William Brock,25695,
Frederick,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,3,
Garrett,,U.S. Senator,,Democratic,Paul S. Sarbanes,3273,
Garrett,,U.S. Senator,,Republican,William Brock,4465,
Garrett,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,0,
Harford,,U.S. Senator,,Democratic,Paul S. Sarbanes,32269,
Harford,,U.S. Senator,,Republican,William Brock,31779,
Harford,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,2,
Howard,,U.S. Senator,,Democratic,Paul S. Sarbanes,40106,
Howard,,U.S. Senator,,Republican,William Brock,32513,
Howard,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,1,
Kent,,U.S. Senator,,Democratic,Paul S. Sarbanes,3746,
Kent,,U.S. Senator,,Republican,William Brock,2802,
Kent,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,0,
Montgomery,,U.S. Senator,,Democratic,Paul S. Sarbanes,157737,
Montgomery,,U.S. Senator,,Republican,William Brock,94197,
Montgomery,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,2,
Prince George's,,U.S. Senator,,Democratic,Paul S. Sarbanes,116485,
Prince George's,,U.S. Senator,,Republican,William Brock,42650,
Prince George's,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,0,
Queen Anne's,,U.S. Senator,,Democratic,Paul S. Sarbanes,5370,
Queen Anne's,,U.S. Senator,,Republican,William Brock,5637,
Queen Anne's,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,4,
St. Mary's,,U.S. Senator,,Democratic,Paul S. Sarbanes,10484,
St. Mary's,,U.S. Senator,,Republican,William Brock,8255,
St. Mary's,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,0,
Somerset,,U.S. Senator,,Democratic,Paul S. Sarbanes,3372,
Somerset,,U.S. Senator,,Republican,William Brock,2744,
Somerset,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,0,
Talbot,,U.S. Senator,,Democratic,Paul S. Sarbanes,4490,
Talbot,,U.S. Senator,,Republican,William Brock,6004,
Talbot,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,0,
Washington,,U.S. Senator,,Democratic,Paul S. Sarbanes,13085,
Washington,,U.S. Senator,,Republican,William Brock,18395,
Washington,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,3,
Wicomico,,U.S. Senator,,Democratic,Paul S. Sarbanes,11261,
Wicomico,,U.S. Senator,,Republican,William Brock,10291,
Wicomico,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,0,
Worcester,,U.S. Senator,,Democratic,Paul S. Sarbanes,6781,
Worcester,,U.S. Senator,,Republican,William Brock,6409,
Worcester,,U.S. Senator,,Democratic,Terri Tilghman Deakyne,2,
Anne Arundel,,Representative in Congress,,Democratic,Wayne Boyle,104,
Anne Arundel,,Representative in Congress,,Democratic,Ralph T. Gies,31128,
Anne Arundel,,Representative in Congress,,Republican,Wayne T. Gilchrest,47478,TRUE
Baltimore City,,Representative in Congress,,Democratic,Wayne Boyle,0,
Baltimore City,,Representative in Congress,,Democratic,Ralph T. Gies,644,
Baltimore City,,Representative in Congress,,Republican,Wayne T. Gilchrest,739,TRUE
Caroline,,Representative in Congress,,Democratic,Wayne Boyle,1,
Caroline,,Representative in Congress,,Democratic,Ralph T. Gies,1473,
Caroline,,Representative in Congress,,Republican,Wayne T. Gilchrest,4696,TRUE
Cecil,,Representative in Congress,,Democratic,Wayne Boyle,3,
Cecil,,Representative in Congress,,Democratic,Ralph T. Gies,5191,
Cecil,,Representative in Congress,,Republican,Wayne T. Gilchrest,12195,TRUE
Dorchester,,Representative in Congress,,Democratic,Wayne Boyle,5,
Dorchester,,Representative in Congress,,Democratic,Ralph T. Gies,2082,
Dorchester,,Representative in Congress,,Republican,Wayne T. Gilchrest,5581,TRUE
Kent,,Representative in Congress,,Democratic,Wayne Boyle,1,
Kent,,Representative in Congress,,Democratic,Ralph T. Gies,1120,
Kent,,Representative in Congress,,Republican,Wayne T. Gilchrest,5488,TRUE
Queen Anne's,,Representative in Congress,,Democratic,Wayne Boyle,9,
Queen Anne's,,Representative in Congress,,Democratic,Ralph T. Gies,2349,
Queen Anne's,,Representative in Congress,,Republican,Wayne T. Gilchrest,8326,TRUE
Somerset,,Representative in Congress,,Democratic,Wayne Boyle,0,
Somerset,,Representative in Congress,,Democratic,Ralph T. Gies,1891,
Somerset,,Representative in Congress,,Republican,Wayne T. Gilchrest,4030,TRUE
Talbot,,Representative in Congress,,Democratic,Wayne Boyle,1,
Talbot,,Representative in Congress,,Democratic,Ralph T. Gies,1703,
Talbot,,Representative in Congress,,Republican,Wayne T. Gilchrest,8333,TRUE
Wicomico,,Representative in Congress,,Democratic,Wayne Boyle,3,
Wicomico,,Representative in Congress,,Democratic,Ralph T. Gies,6492,
Wicomico,,Representative in Congress,,Republican,Wayne T. Gilchrest,14749,TRUE
Worcester,,Representative in Congress,,Democratic,Wayne Boyle,0,
Worcester,,Representative in Congress,,Democratic,Ralph T. Gies,3639,
Worcester,,Representative in Congress,,Republican,Wayne T. Gilchrest,9360,TRUE
Anne Arundel,,Representative in Congress,,Democratic,Gerry L. Brewster,5444,
Anne Arundel,,Representative in Congress,,Democratic,John Benjamin Liston,0,
Anne Arundel,,Representative in Congress,,Democratic,James A. Young,2,
Anne Arundel,,Representative in Congress,,Republican,Robert L. Ehrlich Jr.,10833,TRUE
Anne Arundel,,Representative in Congress,,Independent,Charles G. Grace,3,
Baltimore,,Representative in Congress,,Democratic,Gerry L. Brewster,46282,
Baltimore,,Representative in Congress,,Democratic,John Benjamin Liston,9,
Baltimore,,Representative in Congress,,Democratic,James A. Young,5,
Baltimore,,Representative in Congress,,Republican,Robert L. Ehrlich Jr.,73869,TRUE
Baltimore,,Representative in Congress,,Independent,Charles G. Grace,12,
Harford,,Representative in Congress,,Democratic,Gerry L. Brewster,22549,
Harford,,Representative in Congress,,Democratic,John Benjamin Liston,4,
Harford,,Representative in Congress,,Democratic,James A. Young,3,
Harford,,Representative in Congress,,Republican,Robert L. Ehrlich Jr.,40460,TRUE
Harford,,Representative in Congress,,Independent,Charles G. Grace,5,
Anne Arundel,,Representative in Congress,,Democratic,Benjamin L. Cardin,8043,TRUE
Anne Arundel,,Representative in Congress,,Republican,Robert Ryan Tousey,6089,
Baltimore City,,Representative in Congress,,Democratic,Benjamin L. Cardin,43621,TRUE
Baltimore City,,Representative in Congress,,Republican,Robert Ryan Tousey,12173,
Baltimore,,Representative in Congress,,Democratic,Benjamin L. Cardin,46448,TRUE
Baltimore,,Representative in Congress,,Republican,Robert Ryan Tousey,17790,
Howard,,Representative in Congress,,Democratic,Benjamin L. Cardin,19157,TRUE
Howard,,Representative in Congress,,Republican,Robert Ryan Tousey,11914,
Montgomery,,Representative in Congress,,Democratic,Albert R. Wynn,26242,TRUE
Montgomery,,Representative in Congress,,Republican,Michele Dyson,16170,
Prince George's,,Representative in Congress,,Democratic,Albert R. Wynn,66906,TRUE
Prince George's,,Representative in Congress,,Republican,Michele Dyson,14829,
Anne Arundel,,Representative in Congress,,Democratic,Harold Glynn Dial,7,
Anne Arundel,,Representative in Congress,,Democratic,Steny H. Hoyer,11712,TRUE
Anne Arundel,,Representative in Congress,,Republican,Donald Devine,13651,
Anne Arundel,,Representative in Congress,,Republican,Matthew Lorin Groom,0,
Calvert,,Representative in Congress,,Democratic,Harold Glynn Dial,0,
Calvert,,Representative in Congress,,Democratic,Steny H. Hoyer,9214,TRUE
Calvert,,Representative in Congress,,Republican,Donald Devine,8837,
Calvert,,Representative in Congress,,Republican,Matthew Lorin Groom,0,
Charles,,Representative in Congress,,Democratic,Harold Glynn Dial,5,
Charles,,Representative in Congress,,Democratic,Steny H. Hoyer,13827,TRUE
Charles,,Representative in Congress,,Republican,Donald Devine,11496,
Charles,,Representative in Congress,,Republican,Matthew Lorin Groom,0,
Prince George's,,Representative in Congress,,Democratic,Harold Glynn Dial,1,
Prince George's,,Representative in Congress,,Democratic,Steny H. Hoyer,52447,TRUE
Prince George's,,Representative in Congress,,Republican,Donald Devine,27831,
Prince George's,,Representative in Congress,,Republican,Matthew Lorin Groom,0,
St. Mary's,,Representative in Congress,,Democratic,Harold Glynn Dial,0,
St. Mary's,,Representative in Congress,,Democratic,Steny H. Hoyer,11621,TRUE
St. Mary's,,Representative in Congress,,Republican,Donald Devine,7396,
St. Mary's,,Representative in Congress,,Republican,Matthew Lorin Groom,0,
Allegany,,Representative in Congress,,Democratic,Paul Muldowney,7048,
Allegany,,Representative in Congress,,Republican,Roscoe Bartlett,12296,TRUE
Carroll,,Representative in Congress,,Democratic,Paul Muldowney,11795,
Carroll,,Representative in Congress,,Republican,Roscoe Bartlett,30123,TRUE
Frederick,,Representative in Congress,,Democratic,Paul Muldowney,15445,
Frederick,,Representative in Congress,,Republican,Roscoe Bartlett,31462,TRUE
Garrett,,Representative in Congress,,Democratic,Paul Muldowney,1742,
Garrett,,Representative in Congress,,Republican,Roscoe Bartlett,5901,TRUE
Howard,,Representative in Congress,,Democratic,Paul Muldowney,15286,
Howard,,Representative in Congress,,Republican,Roscoe Bartlett,23672,TRUE
Washington,,Representative in Congress,,Democratic,Paul Muldowney,12095,
Washington,,Representative in Congress,,Republican,Roscoe Bartlett,19355,TRUE
Baltimore City,,Representative in Congress,,Democratic,Kweisi Mfume,76550,TRUE
Baltimore City,,Representative in Congress,,Republican,Kenneth Kondner,7215,
Baltimore,,Representative in Congress,,Democratic,Kweisi Mfume,20466,TRUE
Baltimore,,Representative in Congress,,Republican,Kenneth Kondner,14792,
Montgomery,,Representative in Congress,,Democratic,Steven Van Grack,60660,
Montgomery,,Representative in Congress,,Republican,Constance A. Morella,143449,TRUE
Allegany,,State Senator,,Democratic,Edward A. Malloy Jr.,6739,
Allegany,,State Senator,,Republican,John J. Hafer,14298,TRUE
Garrett,,State Senator,,Democratic,Edward A. Malloy Jr.,1470,
Garrett,,State Senator,,Republican,John J. Hafer,6198,TRUE
Washington,,State Senator,,Democratic,Laura J. Wright,4535,
Washington,,State Senator,,Republican,Donald F. Munson,20242,TRUE
Frederick,,State Senator,,Democratic,Charles R. Luttrell,7761,
Frederick,,State Senator,,Republican,John W. Derr,15556,TRUE
Washington,,State Senator,,Democratic,Charles R. Luttrell,1273,
Washington,,State Senator,,Republican,John W. Derr,4501,TRUE
Carroll,,State Senator,,Democratic,George Littrell,2052,
Carroll,,State Senator,,Republican,Timothy R. Ferguson,5169,TRUE
Frederick,,State Senator,,Democratic,George Littrell,12444,
Frederick,,State Senator,,Republican,Timothy R. Ferguson,10806,TRUE
Carroll,,State Senator,,Democratic,Cynthia Huggins Cummings,12857,
Carroll,,State Senator,,Republican,Larry E. Haines,22599,TRUE
Baltimore,,State Senator,,Democratic,Michael J. Collins,11566,TRUE
Baltimore,,State Senator,,Republican,Alfred E. Clasing Jr.,9254,
Harford,,State Senator,,Democratic,Michael J. Collins,897,TRUE
Harford,,State Senator,,Republican,Alfred E. Clasing Jr.,1257,
Baltimore,,State Senator,,Democratic,Norman R. Stone Jr.,16853,TRUE
Baltimore,,State Senator,,Republican,Russell Mirabile,8710,
Baltimore City,,State Senator,,Democratic,Thomas L. Bromwell,903,TRUE
Baltimore City,,State Senator,,Republican,John J. Bishop,573,
Baltimore,,State Senator,,Democratic,Thomas L. Bromwell,16590,TRUE
Baltimore,,State Senator,,Republican,John J. Bishop,13479,
Baltimore,,State Senator,,Republican,F. Vernon Boozer,27143,TRUE
Baltimore City,,State Senator,,Democratic,Delores G. Kelley,4394,TRUE
Baltimore City,,State Senator,,Republican,Jerome Goodman,324,
Baltimore,,State Senator,,Democratic,Delores G. Kelley,13929,TRUE
Baltimore,,State Senator,,Republican,Jerome Goodman,4576,
Baltimore,,State Senator,,Democratic,Paula C. Hollinger,24226,TRUE
Baltimore,,State Senator,,Republican,Richard Manski,14082,
Baltimore,,State Senator,,Democratic,Edward J. Kasemeyer,6885,TRUE
Baltimore,,State Senator,,Republican,David P. Maier,7553,
Howard,,State Senator,,Democratic,Edward J. Kasemeyer,9236,TRUE
Howard,,State Senator,,Republican,David P. Maier,7753,
Howard,,State Senator,,Democratic,Virginia M. Thomas,12519,
Howard,,State Senator,,Republican,Martin G. Madden,13710,TRUE
Prince George's,,State Senator,,Democratic,Virginia M. Thomas,2121,
Prince George's,,State Senator,,Republican,Martin G. Madden,2905,TRUE
Howard,,State Senator,,Democratic,James P. Mundy,11772,
Howard,,State Senator,,Republican,Christopher J. McCabe,16276,TRUE
