county,precinct,office,district,party,candidate,votes,winner
Calvert,,U.S. Senator,,Other,Henry Laque,0,
Caroline,,U.S. Senator,,Democratic,Barbara A. Mikulski,2241,TRUE
Caroline,,U.S. Senator,,Republican,Linda Chavez,2735,
Caroline,,U.S. Senator,,Other,Henry Laque,0,
Carroll,,U.S. Senator,,Democratic,Barbara A. Mikulski,11659,TRUE
Carroll,,U.S. Senator,,Republican,Linda Chavez,15329,
Cecil,,U.S. Senator,,Democratic,Barbara A. Mikulski,6879,TRUE
Cecil,,U.S. Senator,,Republican,Linda Chavez,7312,
Cecil,,U.S. Senator,,Other,Henry Laque,0,
Charles,,U.S. Senator,,Democratic,Barbara A. Mikulski,8958,TRUE
Charles,,U.S. Senator,,Republican,Linda Chavez,8670,
Charles,,U.S. Senator,,Other,Henry Laque,0,
Dorchester,,U.S. Senator,,Democratic,Barbara A. Mikulski,3562,TRUE
Dorchester,,U.S. Senator,,Republican,Linda Chavez,3988,
Dorchester,,U.S. Senator,,Other,Henry Laque,0,
Frederick,,U.S. Senator,,Democratic,Barbara A. Mikulski,13153,TRUE
Frederick,,U.S. Senator,,Republican,Linda Chavez,16547,
Frederick,,U.S. Senator,,Other,Henry Laque,0,
Garrett,,U.S. Senator,,Democratic,Barbara A. Mikulski,1908,TRUE
Garrett,,U.S. Senator,,Republican,Linda Chavez,3829,
Garrett,,U.S. Senator,,Other,Henry Laque,0,
Harford,,U.S. Senator,,Democratic,Barbara A. Mikulski,21534,TRUE
Harford,,U.S. Senator,,Republican,Linda Chavez,19168,
Harford,,U.S. Senator,,Other,Henry Laque,0,
Howard,,U.S. Senator,,Democratic,Barbara A. Mikulski,25723,TRUE
Howard,,U.S. Senator,,Republican,Linda Chavez,18960,
Howard,,U.S. Senator,,Other,Henry Laque,0,
Kent,,U.S. Senator,,Democratic,Barbara A. Mikulski,2791,TRUE
Kent,,U.S. Senator,,Republican,Linda Chavez,2365,
Kent,,U.S. Senator,,Other,Henry Laque,0,
Montgomery,,U.S. Senator,,Democratic,Barbara A. Mikulski,117058,TRUE
Montgomery,,U.S. Senator,,Republican,Linda Chavez,80469,
Montgomery,,U.S. Senator,,Other,Henry Laque,0,
Prince George's,,U.S. Senator,,Democratic,Barbara A. Mikulski,85536,TRUE
Prince George's,,U.S. Senator,,Republican,Linda Chavez,42585,
Prince George's,,U.S. Senator,,Other,Henry Laque,0,
Queen Anne's,,U.S. Senator,,Democratic,Barbara A. Mikulski,3915,TRUE
Queen Anne's,,U.S. Senator,,Republican,Linda Chavez,4052,
Queen Anne's,,U.S. Senator,,Other,Henry Laque,0,
St. Mary's,,U.S. Senator,,Democratic,Barbara A. Mikulski,6484,TRUE
St. Mary's,,U.S. Senator,,Republican,Linda Chavez,5676,
St. Mary's,,U.S. Senator,,Other,Henry Laque,0,
Somerset,,U.S. Senator,,Democratic,Barbara A. Mikulski,2566,TRUE
Somerset,,U.S. Senator,,Republican,Linda Chavez,3312,
Somerset,,U.S. Senator,,Other,Henry Laque,0,
Talbot,,U.S. Senator,,Democratic,Barbara A. Mikulski,3712,TRUE
Talbot,,U.S. Senator,,Republican,Linda Chavez,4896,
Talbot,,U.S. Senator,,Other,Henry Laque,0,
Washington,,U.S. Senator,,Democratic,Barbara A. Mikulski,12181,TRUE
Washington,,U.S. Senator,,Republican,Linda Chavez,15005,
Washington,,U.S. Senator,,Other,Henry Laque,0,
Wicomico,,U.S. Senator,,Democratic,Barbara A. Mikulski,7463,TRUE
Wicomico,,U.S. Senator,,Republican,Linda Chavez,9291,
Wicomico,,U.S. Senator,,Other,Henry Laque,0,
Worcester,,U.S. Senator,,Democratic,Barbara A. Mikulski,4016,TRUE
Worcester,,U.S. Senator,,Republican,Linda Chavez,4822,
Worcester,,U.S. Senator,,Other,Henry Laque,0,
Calvert,,Representative in Congress,,Democratic,Roy Dyson,6924,TRUE
Calvert,,Representative in Congress,,Republican,Harlan C. Williams,3178,
Caroline,,Representative in Congress,,Democratic,Roy Dyson,3068,TRUE
Caroline,,Representative in Congress,,Republican,Harlan C. Williams,1604,
Cecil,,Representative in Congress,,Democratic,Roy Dyson,6951,TRUE
Cecil,,Representative in Congress,,Republican,Harlan C. Williams,7349,
Charles,,Representative in Congress,,Democratic,Roy Dyson,12472,TRUE
Charles,,Representative in Congress,,Republican,Harlan C. Williams,4243,
Dorchester,,Representative in Congress,,Democratic,Roy Dyson,4904,TRUE
Dorchester,,Representative in Congress,,Republican,Harlan C. Williams,1938,
Harford,,Representative in Congress,,Democratic,Roy Dyson,9870,TRUE
Harford,,Representative in Congress,,Republican,Harlan C. Williams,4856,
Kent,,Representative in Congress,,Democratic,Roy Dyson,3272,TRUE
Kent,,Representative in Congress,,Republican,Harlan C. Williams,1568,
Queen Anne's,,Representative in Congress,,Democratic,Roy Dyson,4814,TRUE
Queen Anne's,,Representative in Congress,,Republican,Harlan C. Williams,2448,
St. Mary's,,Representative in Congress,,Democratic,Roy Dyson,10054,TRUE
St. Mary's,,Representative in Congress,,Republican,Harlan C. Williams,2408,
Somerset,,Representative in Congress,,Democratic,Roy Dyson,4286,TRUE
Somerset,,Representative in Congress,,Republican,Harlan C. Williams,1723,
Talbot,,Representative in Congress,,Democratic,Roy Dyson,4365,TRUE
Talbot,,Representative in Congress,,Republican,Harlan C. Williams,3766,
Wicomico,,Representative in Congress,,Democratic,Roy Dyson,11148,TRUE
Wicomico,,Representative in Congress,,Republican,Harlan C. Williams,5749,
Worcester,,Representative in Congress,,Democratic,Roy Dyson,5985,TRUE
Worcester,,Representative in Congress,,Republican,Harlan C. Williams,2934,
Baltimore,,Representative in Congress,,Democratic,Kathleen Kennedy Townsend,58515,
Baltimore,,Representative in Congress,,Republican,Helen Delich Bentley,80657,TRUE
Baltimore,,Representative in Congress,,Other,Monroe Cornish,1,
Harford,,Representative in Congress,,Democratic,Kathleen Kennedy Townsend,9685,
Harford,,Representative in Congress,,Republican,Helen Delich Bentley,16088,TRUE
Harford,,Representative in Congress,,Other,Monroe Cornish,0,
Baltimore City,,Representative in Congress,,Democratic,Benjamin L. Cardin,53084,TRUE
Baltimore City,,Representative in Congress,,Republican,Ross Z. Pierpont,11719,
Baltimore,,Representative in Congress,,Democratic,Benjamin L. Cardin,34875,TRUE
Baltimore,,Representative in Congress,,Republican,Ross Z. Pierpont,10117,
Howard,,Representative in Congress,,Democratic,Benjamin L. Cardin,12202,TRUE
Howard,,Representative in Congress,,Republican,Ross Z. Pierpont,4616,
Anne Arundel,,Representative in Congress,,Democratic,Thomas McMillen,45175,TRUE
Anne Arundel,,Representative in Congress,,Republican,Robert R. Neall,55366,
Howard,,Representative in Congress,,Democratic,Thomas McMillen,3320,TRUE
Howard,,Representative in Congress,,Republican,Robert R. Neall,2604,
Prince George's,,Representative in Congress,,Democratic,Thomas McMillen,16576,TRUE
Prince George's,,Representative in Congress,,Republican,Robert R. Neall,6673,
Prince George's,,Representative in Congress,,Democratic,Steny H. Hoyer,82098,TRUE
Prince George's,,Representative in Congress,,Republican,John Eugene Sellner,18102,
Allegany,,Representative in Congress,,Democratic,Beverly B. Byron,14056,TRUE
Allegany,,Representative in Congress,,Republican,John Vandenberg,4770,
Carroll,,Representative in Congress,,Democratic,Beverly B. Byron,19373,TRUE
Carroll,,Representative in Congress,,Republican,John Vandenberg,6774,
Frederick,,Representative in Congress,,Democratic,Beverly B. Byron,22380,TRUE
Frederick,,Representative in Congress,,Republican,John Vandenberg,6957,
Garrett,,Representative in Congress,,Democratic,Beverly B. Byron,4406,TRUE
Garrett,,Representative in Congress,,Republican,John Vandenberg,1711,
Howard,,Representative in Congress,,Democratic,Beverly B. Byron,10702,TRUE
Howard,,Representative in Congress,,Republican,John Vandenberg,6564,
Montgomery,,Representative in Congress,,Democratic,Beverly B. Byron,12680,TRUE
Montgomery,,Representative in Congress,,Republican,John Vandenberg,6043,
Washington,,Representative in Congress,,Democratic,Beverly B. Byron,19378,TRUE
Washington,,Representative in Congress,,Republican,John Vandenberg,6781,
Baltimore City,,Representative in Congress,,Democratic,Kweisi Mfume,70994,TRUE
Baltimore City,,Representative in Congress,,Republican,Saint George I. B. Crosse III,8124,
Baltimore City,,Representative in Congress,,Other,Aaron H. Brooks,0,
Baltimore City,,Representative in Congress,,Other,Reba Williams Dixon,1,
Baltimore,,Representative in Congress,,Democratic,Kweisi Mfume,8232,TRUE
Baltimore,,Representative in Congress,,Republican,Saint George I. B. Crosse III,4046,
Baltimore,,Representative in Congress,,Other,Aaron H. Brooks,1,
Baltimore,,Representative in Congress,,Other,Reba Williams Dixon,0,
Montgomery,,Representative in Congress,,Democratic,Stewart Bainum Jr.,82825,
Montgomery,,Representative in Congress,,Republican,Constance A. Morella,92917,TRUE
Allegany,,State Senator,,Republican,John N. Bambacus,11584,TRUE
Garrett,,State Senator,,Republican,John N. Bambacus,4786,TRUE
Allegany,,State Senator,,Democratic,Victor Cushwa,2258,TRUE
Washington,,State Senator,,Democratic,Victor Cushwa,13384,TRUE
Frederick,,State Senator,,Democratic,Gerald Downs,3018,
Frederick,,State Senator,,Republican,John W. Derr,10907,TRUE
Washington,,State Senator,,Democratic,Gerald Downs,4182,
Washington,,State Senator,,Republican,John W. Derr,4646,TRUE
Carroll,,State Senator,,Democratic,Charles H. Smelser,3593,TRUE
Carroll,,State Senator,,Republican,John Thompson,2061,
Frederick,,State Senator,,Democratic,Charles H. Smelser,8122,TRUE
Frederick,,State Senator,,Republican,John Thompson,6878,
Howard,,State Senator,,Democratic,Charles H. Smelser,958,TRUE
Howard,,State Senator,,Republican,John Thompson,866,
Baltimore,,State Senator,,Democratic,Robert E. Spellman,2506,
Baltimore,,State Senator,,Republican,Raymond E. Beck,1187,TRUE
Carroll,,State Senator,,Democratic,Robert E. Spellman,4145,
Carroll,,State Senator,,Republican,Raymond E. Beck,15930,TRUE
Baltimore,,State Senator,,Democratic,Michael J. Collins,13434,TRUE
Baltimore,,State Senator,,Republican,Teresa Mancuso Albright,3368,
Baltimore,,State Senator,,Democratic,Norman R. Stone Jr.,18779,TRUE
Baltimore,,State Senator,,Democratic,Thomas L. Bromwell,19730,TRUE
Baltimore,,State Senator,,Republican,Edward J. Glusing Jr.,7211,
Baltimore,,State Senator,,Republican,F. Vernon Boozer,16854,TRUE
Baltimore,,State Senator,,Democratic,Francis X. Kelly,18655,TRUE
Baltimore,,State Senator,,Republican,Clarence E. Ritter,9656,
Baltimore,,State Senator,,Democratic,Paula Colodny Hollinger,23475,TRUE
Baltimore,,State Senator,,Democratic,John C. Coolahan,18890,TRUE
Howard,,State Senator,,Democratic,Thomas M. Yeager,11182,TRUE
Howard,,State Senator,,Republican,John C. Murphy,6674,
Prince George's,,State Senator,,Democratic,Thomas M. Yeager,4082,TRUE
Prince George's,,State Senator,,Republican,John C. Murphy,2564,
Howard,,State Senator,,Democratic,Edward J. Kasemeyer,11706,TRUE
Howard,,State Senator,,Democratic,Christopher J. McCabe,9229,
Montgomery,,State Senator,,Democratic,Edward J. Kasemeyer,7682,TRUE
Montgomery,,State Senator,,Democratic,Christopher J. McCabe,7246,
Montgomery,,State Senator,,Democratic,Laurence Levitan,20607,TRUE
Montgomery,,State Senator,,Republican,Robin Ficker,11908,
Montgomery,,State Senator,,Democratic,Marilyn Goldwater,16661,
Montgomery,,State Senator,,Republican,Howard Allen Denis,19345,TRUE
Montgomery,,State Senator,,Democratic,S. Frank Shore,15621,TRUE
Montgomery,,State Senator,,Republican,Jeffrey Wayne Skinner,6967,
Montgomery,,State Senator,,Democratic,Margaret Schweinhaut,19163,TRUE
Montgomery,,State Senator,,Republican,Susan Lee White,7161,
Montgomery,,State Senator,,Democratic,Idamae T. Garrott,19999,TRUE
Montgomery,,State Senator,,Republican,Thomas P. Sheahan,10413,
Montgomery,,State Senator,,Democratic,Ida G. Ruben,18906,TRUE
Montgomery,,State Senator,,Republican,Stephen Leventhal,7029,
Montgomery,,State Senator,,Democratic,Arthur Dorman,12341,TRUE
Prince George's,,State Senator,,Democratic,Thomas Patrick O'Reilly,11523,TRUE
Prince George's,,State Senator,,Republican,Jo Mimms-Bolden,2901,
Prince George's,,State Senator,,Democratic,Leo E. Green,16828,TRUE
Prince George's,,State Senator,,Republican,Michael B. Twigg,5263,
Prince George's,,State Senator,,Democratic,Decatur W. Trotter,11581,TRUE
Prince George's,,State Senator,,Democratic,Albert R. Wynn,10853,TRUE
Prince George's,,State Senator,,Republican,Gregory K. Washington,1828,
Prince George's,,State Senator,,Democratic,Frank J. Komenda,12691,TRUE
Prince George's,,State Senator,,Republican,Thomas Douglas Chambers,2460,
Prince George's,,State Senator,,Democratic,Thomas V. Mike Miller Jr.,15507,TRUE
Prince George's,,State Senator,,Republican,Ronald R. Austin,3502,
Charles,,State Senator,,Democratic,James C. Simpson,13370,TRUE
St. Mary's,,State Senator,,Democratic,James C. Simpson,2200,TRUE
Anne Arundel,,State Senator,,Democratic,Bernie Fowler,1365,TRUE
Anne Arundel,,State Senator,,Republican,James D. Warn,468,
Calvert,,State Senator,,Democratic,Bernie Fowler,8288,TRUE
Calvert,,State Senator,,Republican,James D. Warn,2415,
St. Mary's,,State Senator,,Democratic,Bernie Fowler,5739,TRUE
St. Mary's,,State Senator,,Republican,James D. Warn,2968,
Anne Arundel,,State Senator,,Democratic,Gerald W. Winegrad,16287,TRUE
Anne Arundel,,State Senator,,Republican,Charles Thomamm,8793,
Anne Arundel,,State Senator,,Democratic,Philip C. Jimeno,16999,TRUE
Anne Arundel,,State Senator,,Democratic,Michael J. Wagner,13804,TRUE
Anne Arundel,,State Senator,,Democratic,Robert J. Cancelliere,6725,
Anne Arundel,,State Senator,,Republican,John A. Cade,14463,TRUE
Harford,,State Senator,,Democratic,Catherine I. Riley,17473,TRUE
Harford,,State Senator,,Republican,Francis J. Eurice,4374,
Cecil,,State Senator,,Democratic,William H. Amoss,4124,TRUE
Cecil,,State Senator,,Republican,James Cooper,1859,
Harford,,State Senator,,Democratic,William H. Amoss,12018,TRUE
Harford,,State Senator,,Republican,James Cooper,5481,
Caroline,,State Senator,,Democratic,Walter M. Baker,337,TRUE
Caroline,,State Senator,,Republican,Bernard M. Hopkins,329,
Cecil,,State Senator,,Democratic,Walter M. Baker,4971,TRUE
Cecil,,State Senator,,Republican,Bernard M. Hopkins,2293,
Kent,,State Senator,,Democratic,Walter M. Baker,2770,TRUE
Kent,,State Senator,,Republican,Bernard M. Hopkins,1750,
Queen Anne's,,State Senator,,Democratic,Walter M. Baker,3506,TRUE
Queen Anne's,,State Senator,,Republican,Bernard M. Hopkins,3732,
Talbot,,State Senator,,Democratic,Walter M. Baker,620,TRUE
Talbot,,State Senator,,Republican,Bernard M. Hopkins,674,
Caroline,,State Senator,,Democratic,Frederick C. Malkus Jr.,2689,TRUE
Dorchester,,State Senator,,Democratic,Frederick C. Malkus Jr.,5710,TRUE
Talbot,,State Senator,,Democratic,Frederick C. Malkus Jr.,4170,TRUE
Wicomico,,State Senator,,Democratic,Frederick C. Malkus Jr.,3343,TRUE
Somerset,,State Senator,,Republican,Lewis R. Riley,2962,TRUE
Wicomico,,State Senator,,Republican,Lewis R. Riley,7259,TRUE
Worcester,,State Senator,,Republican,Lewis R. Riley,4753,TRUE
Baltimore City,,State Senator,,Democratic,Michael B. Mitchell,8754,TRUE
Baltimore City,,State Senator,,Republican,Victor Clark Jr.,1476,
Baltimore City,,State Senator,,Democratic,Troy Brailey,11584,TRUE
Baltimore City,,State Senator,,Republican,Melvin Stubbs,456,
Baltimore City,,State Senator,,Democratic,Clarence W. Blount,13722,TRUE
Baltimore City,,State Senator,,Democratic,Barbara Hoffman,16929,TRUE
Baltimore City,,State Senator,,Democratic,John A. Pica Jr.,16354,TRUE
Baltimore City,,State Senator,,Democratic,Julian L. Lapides,14638,TRUE
Baltimore City,,State Senator,,Democratic,Nathan C. Irby Jr.,10854,TRUE
Baltimore City,,State Senator,,Republican,Mary L. O'Brien,784,
Baltimore City,,State Senator,,Democratic,Joseph S. Bonvegna,16160,TRUE
Baltimore City,,State Senator,,Democratic,George W. Della Jr.,10378,TRUE
Allegany,,House of Delegates,,Republican,George C. Edwards,656,TRUE
Garrett,,House of Delegates,,Republican,George C. Edwards,4992,TRUE
Allegany,,House of Delegates,,Democratic,Kevin Kelly,7858,TRUE
Allegany,,House of Delegates,,Democratic,Betty Workman,8195,TRUE
Allegany,,House of Delegates,,Republican,William R. Davis,5984,
Allegany,,House of Delegates,,Republican,Robert M. Hutcheson,6151,
Allegany,,House of Delegates,,Democratic,Casper R. Taylor Jr.,2039,TRUE
Allegany,,House of Delegates,,Republican,James M. Roby,1791,
Washington,,House of Delegates,,Democratic,Casper R. Taylor Jr.,1494,TRUE
Washington,,House of Delegates,,Republican,James M. Roby,640,
Washington,,House of Delegates,,Democratic,Peter G. Callas,5339,TRUE
Washington,,House of Delegates,,Republican,Richard D. Wiles,2103,
Washington,,House of Delegates,,Republican,Donald F. Munson,4303,TRUE
Washington,,House of Delegates,,Democratic,D. Bruce Poole,4708,TRUE
Washington,,House of Delegates,,Republican,Ronald J. Stansbury,1545,
Washington,,House of Delegates,,Other,Paul Muldowney,3073,
Frederick,,House of Delegates,,Democratic,James E. McClellan,8542,TRUE
Frederick,,House of Delegates,,Democratic,Royd Smith,7449,TRUE
Frederick,,House of Delegates,,Republican,M. Albert Morningstar,5885,
Frederick,,House of Delegates,,Republican,Donald T. Taylor,4903,
Washington,,House of Delegates,,Democratic,James E. McClellan,686,TRUE
Washington,,House of Delegates,,Democratic,Royd Smith,423,TRUE
Washington,,House of Delegates,,Republican,M. Albert Morningstar,624,
Washington,,House of Delegates,,Republican,Donald T. Taylor,590,
Frederick,,House of Delegates,,Democratic,Thomas H. Hattery,9014,TRUE
Frederick,,House of Delegates,,Democratic,George Littrell,8391,TRUE
Frederick,,House of Delegates,,Republican,Kenneth R. Coffey,7954,
Frederick,,House of Delegates,,Republican,Larry W. Cook,3113,
Carroll,,House of Delegates,,Democratic,Robert George Fehle Sr.,1480,
Carroll,,House of Delegates,,Republican,Donald B. Elliott,4084,TRUE
Howard,,House of Delegates,,Democratic,Robert George Fehle Sr.,538,
Howard,,House of Delegates,,Republican,Donald B. Elliott,1211,TRUE
Carroll,,House of Delegates,,Democratic,Richard N. Dixon,10118,TRUE
Carroll,,House of Delegates,,Democratic,Francis X. Walsh,7207,
Carroll,,House of Delegates,,Republican,Jon Buck,6499,
Carroll,,House of Delegates,,Republican,Richard C. Matthews,10669,TRUE
Baltimore,,House of Delegates,,Democratic,Lawrence A. LaMotte,2808,TRUE
Carroll,,House of Delegates,,Democratic,Lawrence A. LaMotte,1382,TRUE
Baltimore,,House of Delegates,,Democratic,R. Terry Connelly,13324,TRUE
Baltimore,,House of Delegates,,Democratic,E. Farrell Maddox,12387,TRUE
Baltimore,,House of Delegates,,Democratic,Michael H. Weir,12862,TRUE
