county,precinct,office,district,party,candidate,votes,winner
Allegany,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,14296,TRUE
Allegany,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,4783,
Anne Arundel,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,83917,TRUE
Anne Arundel,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,16945,
Baltimore City,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,152553,TRUE
Baltimore City,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,12935,
Baltimore,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,174570,TRUE
Baltimore,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,29857,
Calvert,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,7833,TRUE
Calvert,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,2563,
Caroline,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,3874,TRUE
Caroline,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,951,
Carroll,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,19887,TRUE
Carroll,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,5209,
Cecil,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,11517,TRUE
Cecil,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,2856,
Charles,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,13632,TRUE
Charles,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,3623,
Dorchester,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,6669,TRUE
Dorchester,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,889,
Frederick,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,21977,TRUE
Frederick,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,6778,
Garrett,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,3327,TRUE
Garrett,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,2115,
Harford,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,33633,TRUE
Harford,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,6528,
Howard,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,36571,TRUE
Howard,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,7981,
Kent,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,4363,TRUE
Kent,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,820,
Montgomery,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,147946,TRUE
Montgomery,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,47885,
Prince George's,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,102611,TRUE
Prince George's,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,23559,
Queen Anne's,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,6440,TRUE
Queen Anne's,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,1430,
St. Mary's,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,9600,TRUE
St. Mary's,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,2192,
Somerset,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,4982,TRUE
Somerset,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,860,
Talbot,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,6625,TRUE
Talbot,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,1845,
Washington,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,20588,TRUE
Washington,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,6208,
Wicomico,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,12740,TRUE
Wicomico,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,3736,
Worcester,,Governor,,Democratic,William Donald Schaefer/Melvin A. Steinberg,7140,TRUE
Worcester,,Governor,,Republican,Thomas J. Mooney/Melvin Bilal,1637,
Allegany,,Comptroller 005,,Democratic,Louis L. Goldstein,13489,TRUE
Anne Arundel,,Comptroller 005,,Democratic,Louis L. Goldstein,75508,TRUE
Baltimore City,,Comptroller 005,,Democratic,Louis L. Goldstein,127604,TRUE
Baltimore,,Comptroller 005,,Democratic,Louis L. Goldstein,158624,TRUE
Calvert,,Comptroller 005,,Democratic,Louis L. Goldstein,8017,TRUE
Caroline,,Comptroller 005,,Democratic,Louis L. Goldstein,3824,TRUE
Carroll,,Comptroller 005,,Democratic,Louis L. Goldstein,22489,TRUE
Cecil,,Comptroller 005,,Democratic,Louis L. Goldstein,10979,TRUE
Charles,,Comptroller 005,,Democratic,Louis L. Goldstein,13149,TRUE
Dorchester,,Comptroller 005,,Democratic,Louis L. Goldstein,5924,TRUE
Frederick,,Comptroller 005,,Democratic,Louis L. Goldstein,24318,TRUE
Garrett,,Comptroller 005,,Democratic,Louis L. Goldstein,3852,TRUE
Harford,,Comptroller 005,,Democratic,Louis L. Goldstein,31694,TRUE
Howard,,Comptroller 005,,Democratic,Louis L. Goldstein,33003,TRUE
Kent,,Comptroller 005,,Democratic,Louis L. Goldstein,4298,TRUE
Montgomery,,Comptroller 005,,Democratic,Louis L. Goldstein,152107,TRUE
Prince George's,,Comptroller 005,,Democratic,Louis L. Goldstein,96922,TRUE
Queen Anne's,,Comptroller 005,,Democratic,Louis L. Goldstein,6431,TRUE
St. Mary's,,Comptroller 005,,Democratic,Louis L. Goldstein,9272,TRUE
Somerset,,Comptroller 005,,Democratic,Louis L. Goldstein,4674,TRUE
Talbot,,Comptroller 005,,Democratic,Louis L. Goldstein,6450,TRUE
Washington,,Comptroller 005,,Democratic,Louis L. Goldstein,21409,TRUE
Wicomico,,Comptroller 005,,Democratic,Louis L. Goldstein,13227,TRUE
Worcester,,Comptroller 005,,Democratic,Louis L. Goldstein,7051,TRUE
Allegany,,Attorney General,,Democratic,J. Joseph Curran Jr.,10957,TRUE
Anne Arundel,,Attorney General,,Democratic,J. Joseph Curran Jr.,63950,TRUE
Baltimore City,,Attorney General,,Democratic,J. Joseph Curran Jr.,118187,TRUE
Baltimore,,Attorney General,,Democratic,J. Joseph Curran Jr.,143060,TRUE
Calvert,,Attorney General,,Democratic,J. Joseph Curran Jr.,6467,TRUE
Caroline,,Attorney General,,Democratic,J. Joseph Curran Jr.,3141,TRUE
Carroll,,Attorney General,,Democratic,J. Joseph Curran Jr.,19326,TRUE
Cecil,,Attorney General,,Democratic,J. Joseph Curran Jr.,9722,TRUE
Charles,,Attorney General,,Democratic,J. Joseph Curran Jr.,11396,TRUE
Dorchester,,Attorney General,,Democratic,J. Joseph Curran Jr.,4642,TRUE
Frederick,,Attorney General,,Democratic,J. Joseph Curran Jr.,20642,TRUE
Garrett,,Attorney General,,Democratic,J. Joseph Curran Jr.,3168,TRUE
Harford,,Attorney General,,Democratic,J. Joseph Curran Jr.,31645,TRUE
Howard,,Attorney General,,Democratic,J. Joseph Curran Jr.,30003,TRUE
Kent,,Attorney General,,Democratic,J. Joseph Curran Jr.,3604,TRUE
Montgomery,,Attorney General,,Democratic,J. Joseph Curran Jr.,140893,TRUE
Prince George's,,Attorney General,,Democratic,J. Joseph Curran Jr.,91304,TRUE
Queen Anne's,,Attorney General,,Democratic,J. Joseph Curran Jr.,5353,TRUE
St. Mary's,,Attorney General,,Democratic,J. Joseph Curran Jr.,8028,TRUE
Somerset,,Attorney General,,Democratic,J. Joseph Curran Jr.,3573,TRUE
Talbot,,Attorney General,,Democratic,J. Joseph Curran Jr.,5394,TRUE
Washington,,Attorney General,,Democratic,J. Joseph Curran Jr.,16562,TRUE
Wicomico,,Attorney General,,Democratic,J. Joseph Curran Jr.,11102,TRUE
Worcester,,Attorney General,,Democratic,J. Joseph Curran Jr.,6051,TRUE
Allegany,,U.S. Senator,,Democratic,Barbara A. Mikulski,8845,TRUE
Allegany,,U.S. Senator,,Republican,Linda Chavez,10790,
Allegany,,U.S. Senator,,Other,Henry Laque,0,
Anne Arundel,,U.S. Senator,,Democratic,Barbara A. Mikulski,54932,TRUE
Anne Arundel,,U.S. Senator,,Republican,Linda Chavez,46528,
Anne Arundel,,U.S. Senator,,Other,Henry Laque,1,
Baltimore City,,U.S. Senator,,Democratic,Barbara A. Mikulski,137775,TRUE
Baltimore City,,U.S. Senator,,Republican,Linda Chavez,28926,
Baltimore City,,U.S. Senator,,Other,Henry Laque,0,
Baltimore,,U.S. Senator,,Democratic,Barbara A. Mikulski,126914,TRUE
Baltimore,,U.S. Senator,,Republican,Linda Chavez,76785,
Baltimore,,U.S. Senator,,Other,Henry Laque,0,
Calvert,,U.S. Senator,,Democratic,Barbara A. Mikulski,5420,TRUE
Calvert,,U.S. Senator,,Republican,Linda Chavez,5371,
